"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"Experiencia14"
"10/19/2022 13:08:49:510 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","yellow-food-percentage","n-shelter","n-basic-agent","green-food-percentage","n-expert-agent","trap-percentage","[step]","count basic-agent","count expert-agent"
"3","15","15","5","15","5","0.4","0","5","5"
"2","15","15","5","15","5","0.4","0","5","5"
"4","15","15","5","15","5","0.4","0","5","5"
"3","15","15","5","15","5","0.4","1","5","5"
"2","15","15","5","15","5","0.4","1","5","5"
"4","15","15","5","15","5","0.4","1","5","5"
"3","15","15","5","15","5","0.4","2","4","5"
"2","15","15","5","15","5","0.4","2","4","5"
"3","15","15","5","15","5","0.4","3","4","5"
"4","15","15","5","15","5","0.4","2","5","5"
"3","15","15","5","15","5","0.4","4","4","5"
"2","15","15","5","15","5","0.4","3","4","5"
"3","15","15","5","15","5","0.4","5","4","5"
"4","15","15","5","15","5","0.4","3","5","5"
"4","15","15","5","15","5","0.4","4","5","5"
"2","15","15","5","15","5","0.4","4","4","5"
"4","15","15","5","15","5","0.4","5","5","5"
"3","15","15","5","15","5","0.4","6","4","5"
"2","15","15","5","15","5","0.4","5","4","5"
"3","15","15","5","15","5","0.4","7","4","5"
"4","15","15","5","15","5","0.4","6","5","5"
"2","15","15","5","15","5","0.4","6","4","5"
"3","15","15","5","15","5","0.4","8","4","5"
"4","15","15","5","15","5","0.4","7","5","5"
"3","15","15","5","15","5","0.4","9","4","5"
"2","15","15","5","15","5","0.4","7","4","5"
"4","15","15","5","15","5","0.4","8","5","5"
"3","15","15","5","15","5","0.4","10","4","5"
"2","15","15","5","15","5","0.4","8","4","5"
"4","15","15","5","15","5","0.4","9","5","5"
"3","15","15","5","15","5","0.4","11","3","5"
"2","15","15","5","15","5","0.4","9","4","5"
"4","15","15","5","15","5","0.4","10","5","5"
"2","15","15","5","15","5","0.4","10","3","5"
"4","15","15","5","15","5","0.4","11","5","5"
"3","15","15","5","15","5","0.4","12","3","5"
"2","15","15","5","15","5","0.4","11","3","5"
"4","15","15","5","15","5","0.4","12","5","5"
"3","15","15","5","15","5","0.4","13","3","5"
"2","15","15","5","15","5","0.4","12","3","5"
"4","15","15","5","15","5","0.4","13","5","5"
"3","15","15","5","15","5","0.4","14","3","5"
"4","15","15","5","15","5","0.4","14","4","5"
"3","15","15","5","15","5","0.4","15","3","5"
"2","15","15","5","15","5","0.4","13","3","5"
"3","15","15","5","15","5","0.4","16","3","5"
"4","15","15","5","15","5","0.4","15","4","5"
"3","15","15","5","15","5","0.4","17","3","5"
"2","15","15","5","15","5","0.4","14","2","5"
