"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-trap-percentage-0.0-plus-camouflage-100"
"10/29/2022 02:46:20:023 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","yellow-food-percentage","n-shelter","expert-kill-basic-min-energy","n-basic-agent","n-expert-agent","green-food-percentage","basic-agent-camouflage-percentage","trap-percentage","[step]","count basic-agent","count expert-agent"
"3","2.5","5","101","18","18","7","100","0","0","18","18"
"3","2.5","5","101","18","18","7","100","0","1","18","18"
"2","2.5","5","101","18","18","7","100","0","0","18","18"
"3","2.5","5","101","18","18","7","100","0","2","18","18"
"3","2.5","5","101","18","18","7","100","0","3","18","18"
"2","2.5","5","101","18","18","7","100","0","1","18","18"
"3","2.5","5","101","18","18","7","100","0","4","18","18"
"2","2.5","5","101","18","18","7","100","0","2","18","18"
"3","2.5","5","101","18","18","7","100","0","5","18","18"
"2","2.5","5","101","18","18","7","100","0","3","18","18"
"2","2.5","5","101","18","18","7","100","0","4","18","18"
"3","2.5","5","101","18","18","7","100","0","6","18","18"
"2","2.5","5","101","18","18","7","100","0","5","18","18"
"3","2.5","5","101","18","18","7","100","0","7","18","18"
"2","2.5","5","101","18","18","7","100","0","6","18","18"
"2","2.5","5","101","18","18","7","100","0","7","18","18"
"3","2.5","5","101","18","18","7","100","0","8","18","18"
"2","2.5","5","101","18","18","7","100","0","8","18","18"
"3","2.5","5","101","18","18","7","100","0","9","18","18"
"2","2.5","5","101","18","18","7","100","0","9","18","18"
"2","2.5","5","101","18","18","7","100","0","10","18","18"
"3","2.5","5","101","18","18","7","100","0","10","18","18"
"2","2.5","5","101","18","18","7","100","0","11","18","18"
"3","2.5","5","101","18","18","7","100","0","11","18","18"
"2","2.5","5","101","18","18","7","100","0","12","18","18"
"3","2.5","5","101","18","18","7","100","0","12","18","18"
"2","2.5","5","101","18","18","7","100","0","13","18","18"
"3","2.5","5","101","18","18","7","100","0","13","18","18"
"2","2.5","5","101","18","18","7","100","0","14","18","18"
"1","2.5","5","101","18","18","7","100","0","0","18","18"
"2","2.5","5","101","18","18","7","100","0","15","18","18"
"3","2.5","5","101","18","18","7","100","0","14","18","18"
"2","2.5","5","101","18","18","7","100","0","16","18","18"
"2","2.5","5","101","18","18","7","100","0","17","18","18"
"3","2.5","5","101","18","18","7","100","0","15","18","18"
"2","2.5","5","101","18","18","7","100","0","18","18","18"
"2","2.5","5","101","18","18","7","100","0","19","18","18"
"2","2.5","5","101","18","18","7","100","0","20","18","18"
"3","2.5","5","101","18","18","7","100","0","16","18","18"
"2","2.5","5","101","18","18","7","100","0","21","18","18"
"3","2.5","5","101","18","18","7","100","0","17","18","18"
"2","2.5","5","101","18","18","7","100","0","22","18","18"
"3","2.5","5","101","18","18","7","100","0","18","18","18"
"2","2.5","5","101","18","18","7","100","0","23","18","18"
"3","2.5","5","101","18","18","7","100","0","19","18","18"
"2","2.5","5","101","18","18","7","100","0","24","18","18"
"3","2.5","5","101","18","18","7","100","0","20","18","18"
"2","2.5","5","101","18","18","7","100","0","25","18","18"
"3","2.5","5","101","18","18","7","100","0","21","18","18"
"3","2.5","5","101","18","18","7","100","0","22","18","18"
"2","2.5","5","101","18","18","7","100","0","26","18","18"
"3","2.5","5","101","18","18","7","100","0","23","18","18"
"2","2.5","5","101","18","18","7","100","0","27","18","18"
"3","2.5","5","101","18","18","7","100","0","24","18","18"
"3","2.5","5","101","18","18","7","100","0","25","18","18"
"2","2.5","5","101","18","18","7","100","0","28","18","18"
"3","2.5","5","101","18","18","7","100","0","26","18","18"
"2","2.5","5","101","18","18","7","100","0","29","18","18"
"3","2.5","5","101","18","18","7","100","0","27","18","18"
"2","2.5","5","101","18","18","7","100","0","30","18","18"
"3","2.5","5","101","18","18","7","100","0","28","18","18"
"2","2.5","5","101","18","18","7","100","0","31","18","18"
"3","2.5","5","101","18","18","7","100","0","29","18","18"
"2","2.5","5","101","18","18","7","100","0","32","18","18"
"1","2.5","5","101","18","18","7","100","0","1","18","18"
"3","2.5","5","101","18","18","7","100","0","30","18","18"
"2","2.5","5","101","18","18","7","100","0","33","18","18"
"3","2.5","5","101","18","18","7","100","0","31","18","18"
"2","2.5","5","101","18","18","7","100","0","34","18","18"
"3","2.5","5","101","18","18","7","100","0","32","18","18"
"3","2.5","5","101","18","18","7","100","0","33","18","18"
"2","2.5","5","101","18","18","7","100","0","35","18","18"
"3","2.5","5","101","18","18","7","100","0","34","18","18"
"3","2.5","5","101","18","18","7","100","0","35","18","18"
"2","2.5","5","101","18","18","7","100","0","36","18","18"
"3","2.5","5","101","18","18","7","100","0","36","18","18"
"2","2.5","5","101","18","18","7","100","0","37","18","18"
"3","2.5","5","101","18","18","7","100","0","37","18","18"
"2","2.5","5","101","18","18","7","100","0","38","18","18"
"3","2.5","5","101","18","18","7","100","0","38","18","18"
"2","2.5","5","101","18","18","7","100","0","39","18","18"
"2","2.5","5","101","18","18","7","100","0","40","18","18"
"3","2.5","5","101","18","18","7","100","0","39","18","18"
"2","2.5","5","101","18","18","7","100","0","41","18","18"
"3","2.5","5","101","18","18","7","100","0","40","18","18"
"2","2.5","5","101","18","18","7","100","0","42","18","18"
"3","2.5","5","101","18","18","7","100","0","41","18","18"
"2","2.5","5","101","18","18","7","100","0","43","18","18"
"3","2.5","5","101","18","18","7","100","0","42","18","18"
"3","2.5","5","101","18","18","7","100","0","43","18","18"
"2","2.5","5","101","18","18","7","100","0","44","18","18"
