"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-default"
"10/27/2022 21:24:08:907 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","4","0","2","0","2","0","3","0","2","0","3","0","1","0","2","0","1","0","2","0","3","0","5","0","2","0","2","0","3","0","1","0","3","0","2","0","1","0","2"
"[min]","0","4","0","2","0","2","0","3","0","2","0","3","0","1","0","2","0","1","0","2","0","3","0","5","0","2","0","2","0","3","0","1","0","3","0","2","0","1","0","2"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","0.4275724275724276","5.580419580419581","0.46653346653346656","3.5094905094905093","0.34065934065934067","3.2167832167832167","0.2857142857142857","5.117882117882118","0.25574425574425574","3.999000999000999","0.33666333666333664","4.355644355644356","0.18281718281718282","2.5714285714285716","0.3726273726273726","3.142857142857143","0.4915084915084915","2.6263736263736264","0.3046953046953047","3.9330669330669332","0.45854145854145856","4.358641358641359","0.2867132867132867","6.290709290709291","0.2677322677322677","2.7482517482517483","0.5124875124875125","3.014985014985015","0.2777222777222777","4.34965034965035","0.34265734265734266","2.136863136863137","0.5144855144855145","6.489510489510489","0.26373626373626374","3.6193806193806193","0.5394605394605395","4.092907092907093","0.3126873126873127","3.4535464535464535"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","10","9","10","10","10","10","10","9","10","9","10","10","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","8","9","10","9","10","10","10","8","9","9","10","10","10","10","10","10","10","8","10","9","10","9","9","10","10","9","9","8","9","10","10","8","10","10","10","9","10"
,"9","10","10","8","9","9","9","10","10","10","8","9","7","10","10","10","10","10","10","10","8","10","9","10","9","8","10","8","9","9","8","9","10","10","8","9","9","10","9","9"
,"9","10","10","8","8","9","9","10","10","10","8","9","6","10","10","10","10","10","10","10","8","10","9","10","9","8","10","8","9","9","8","9","10","10","7","8","9","10","8","9"
