"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-plus-basic-agent-0.0"
"10/29/2022 00:32:16:588 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","2","0","2","0","1","0","3","0","2","0","3","0","4","0","3","0","1","0","4","0","2","0","2","0","2","0","1","0","1","0","2","0","3","0","1","0","1","0","3"
"[min]","0","2","0","2","0","1","0","3","0","2","0","3","0","4","0","3","0","1","0","4","0","2","0","2","0","2","0","1","0","1","0","2","0","3","0","1","0","1","0","3"
"[max]","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10"
"[mean]","0","3.3596403596403595","0","2.8581418581418583","0","2.7262737262737264","0","3.773226773226773","0","3.7082917082917084","0","4.201798201798201","0","5.393606393606394","0","4.032967032967033","0","1.8661338661338662","0","4.794205794205794","0","3.5814185814185815","0","2.995004995004995","0","2.993006993006993","0","2.822177822177822","0","3.272727272727273","0","3.1878121878121877","0","4.536463536463536","0","2.58957654723127","0","1.972027972027972","0","3.886113886113886"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","306","306","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10"
,"0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10"
,"0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10"
,"0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","10","0","9","0","9","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","9","0","10","0","10"
,"0","10","0","10","0","10","0","10","0","10","0","9","0","9","0","9","0","9","0","8","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","8","0","10","0","10"
,"0","10","0","10","0","10","0","10","0","10","0","8","0","9","0","9","0","9","0","7","0","9","0","9","0","10","0","10","0","10","0","9","0","10","0","8","0","10","0","10"
,"0","10","0","10","0","10","0","10","0","10","0","8","0","9","0","9","0","9","0","6","0","9","0","8","0","10","0","10","0","10","0","9","0","10","0","8","0","10","0","10"
