"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-less-expert-0.0"
"10/29/2022 00:35:50:849 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0"
"[min]","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0"
"[max]","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
"[mean]","4.08421052631579","0","1.95004995004995","0","2.8048780487804876","0","1.922077922077922","0","1.5234765234765235","0","3.1985559566787005","0","3.4390243902439024","0","4.076","0","4.123529411764705","0","4.371212121212121","0","1.5774225774225774","0","3.5330882352941178","0","4.171428571428572","0","4.628019323671498","0","2.8375","0","4.688172043010753","0","3.9529411764705884","0","2.542307692307692","0","3.878260869565217","0","3.293617021276596","0"
"[steps]","189","189","1000","1000","204","204","1000","1000","1000","1000","276","276","204","204","249","249","169","169","131","131","1000","1000","271","271","104","104","206","206","159","159","185","185","169","169","259","259","229","229","234","234"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"9","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0"
,"9","0","10","0","10","0","10","0","10","0","8","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0"
,"9","0","10","0","10","0","10","0","10","0","7","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","10","0","10","0","10","0"
,"9","0","10","0","10","0","10","0","10","0","7","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","9","0","10","0","10","0"
,"9","0","10","0","10","0","9","0","10","0","7","0","9","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","0","10","0","10","0","9","0","10","0","10","0"
