"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-plus-green-food-0.0"
"10/29/2022 00:17:21:289 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"trap-percentage","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","2","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1"
"[min]","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","2","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","0.39760239760239763","2.5484515484515486","0.27634660421545665","3.601873536299766","0.7087628865979382","3.9407216494845363","0.45754245754245754","2.2527472527472527","0.6333333333333333","3.495833333333333","1.1069182389937107","1.830188679245283","1.5849462365591398","1.3419354838709678","1.9014423076923077","2.5216346153846154","0.2855209742895805","3.3924221921515563","1.1773584905660377","2.8867924528301887","1.3056943056943058","0.8601398601398601","0.3546453546453546","2.6283716283716285","1.4236842105263159","3.0763157894736843","0.5044955044955045","1.937062937062937","1.4018987341772151","3.857594936708861","0.4865134865134865","2.4325674325674327","0.9936305732484076","2.9554140127388533","1.6544502617801047","2.0785340314136125","0.34765234765234765","2.7312687312687314","0.23176823176823177","2.108891108891109"
"[steps]","1000","1000","426","426","387","387","1000","1000","479","479","476","476","464","464","415","415","738","738","264","264","1000","1000","1000","1000","379","379","1000","1000","315","315","1000","1000","313","313","381","381","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","10","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","10","10","9","10","10","10","10","10","9","10","10","10","10","10","10","10"
,"10","10","9","10","8","9","10","10","10","9","9","10","9","9","10","10","10","10","10","10","8","9","6","10","10","10","8","10","10","10","10","10","9","9","8","9","9","10","9","10"
,"10","10","7","10","8","9","10","10","10","8","9","10","9","8","10","10","10","10","9","10","8","9","6","10","10","10","8","9","9","9","10","10","9","9","8","9","9","10","9","10"
,"9","10","7","10","8","9","10","10","10","8","9","10","9","7","10","10","9","10","8","10","8","8","6","10","10","10","8","9","9","9","10","10","9","9","8","9","9","9","9","10"
