"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-plus-trap-0.0"
"10/29/2022 00:12:20:836 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10"
"[min]","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","0.7722277722277723","10","0.4875124875124875","10","0.5264735264735265","10","0.4255744255744256","10","0.4005994005994006","10","0.4745254745254745","10","0.6553446553446554","10","0.4995004995004995","10","0.5024975024975025","10","0.5224775224775224","10","0.4515484515484515","10","0.7172827172827173","10","0.3936063936063936","10","0.5284715284715285","10","0.41058941058941056","10","0.6093906093906094","10","0.28471528471528473","10","0.6003996003996004","10","0.9340659340659341","10","0.3246753246753247","10"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10"
,"10","10","9","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","9","10","10","10","9","10","10","10","9","10","10","10","9","10","10","10"
,"10","10","9","10","10","10","9","10","8","10","10","10","10","10","10","10","10","10","9","10","9","10","10","10","9","10","10","10","9","10","10","10","9","10","10","10","9","10","10","10"
,"10","10","9","10","9","10","9","10","8","10","10","10","10","10","10","10","10","10","9","10","9","10","10","10","9","10","10","10","9","10","10","10","9","10","10","10","9","10","10","10"
,"10","10","9","10","8","10","8","10","8","10","10","10","10","10","10","10","10","10","9","10","9","10","10","10","9","10","9","10","9","10","10","10","9","10","10","10","9","10","10","10"
,"10","10","9","10","8","10","7","10","8","10","10","10","10","10","10","10","10","10","9","10","8","10","9","10","9","10","9","10","9","10","10","10","9","10","9","10","8","10","10","10"
