"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-less-yellow-food-0.0"
"10/29/2022 00:21:16:071 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","4","0","1","0","4","0","2","0","1","0","4","0","2","0","2","0","4","0","2","0","4","0","3","0","4","0","1","0","3","0","2","0","1","0","2","0","4","0","3"
"[min]","0","4","0","1","0","4","0","2","0","1","0","4","0","2","0","2","0","4","0","2","0","4","0","3","0","4","0","1","0","3","0","2","0","1","0","2","0","4","0","3"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","0.25574425574425574","4.194805194805195","0.25874125874125875","2.4915084915084913","0.17382617382617382","5.110889110889111","0.4045954045954046","2.4185814185814185","0.23476523476523475","2.851148851148851","0.2827172827172827","4.7272727272727275","0.5654345654345654","3.6173826173826176","0.44255744255744256","3.6363636363636362","0.36663336663336665","4.8901098901098905","0.2957042957042957","3.6023976023976023","0.23976023976023977","4.43956043956044","0.30569430569430567","4.502497502497502","0.19880119880119881","5.896103896103896","0.39914163090128757","2.7296137339055795","0.3386613386613387","4.798201798201799","0.23876123876123875","3.008991008991009","0.36663336663336665","2.7612387612387614","0.35764235764235763","3.1408591408591406","0.23776223776223776","5.5404595404595405","0.46553446553446554","3.757242757242757"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","698","698","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"9","10","8","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","9","10","10","10","9","10","10","10","9","10","10","10","10","10","10","10"
,"9","9","8","10","10","10","9","10","9","10","10","10","10","10","9","10","10","9","10","10","10","9","9","10","9","10","10","8","8","10","10","9","9","10","9","10","9","10","10","9"
,"9","9","8","10","9","10","9","9","7","10","9","9","10","10","9","10","10","9","9","9","9","8","8","10","9","10","10","7","7","9","10","9","9","10","7","10","8","10","10","9"
,"9","9","7","10","9","10","9","9","7","10","8","9","10","8","8","10","10","9","9","9","9","8","8","10","9","10","10","7","6","9","10","9","8","9","7","10","8","10","10","9"
