"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-plus-expert-50.0"
"10/29/2022 00:35:20:277 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",,"0.9",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","8","0","7","0","14","0","7","0","5","0","10","0","10","0","7","0","9","0","5","0","7","0","13","0","8","0","8","0","15","0","14","0","4","0","14","0","7","0","4"
"[min]","0","8","0","7","0","14","0","7","0","5","0","10","0","10","0","7","0","9","0","5","0","7","0","13","0","8","0","8","0","15","0","14","0","4","0","14","0","7","0","4"
"[max]","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50"
"[mean]","0.14485514485514486","14.172827172827173","0.07192807192807193","13.914085914085915","0.12087912087912088","22.102897102897103","0.13286713286713286","15.417582417582418","0.07892107892107893","10.501498501498501","0.07592407592407592","18.78221778221778","0.11388611388611389","15.724275724275724","0.058941058941058944","14.783216783216783","0.08691308691308691","16.969030969030968","0.13886113886113885","12.864135864135864","0.18681318681318682","12.942057942057943","0.09490509490509491","20.0999000999001","0.060939060939060936","15.909090909090908","0.0939060939060939","15.2997002997003","0.07292707292707293","22.622377622377623","0.11488511488511488","20.797202797202797","0.08691308691308691","11.716283716283716","0.056943056943056944","24.61938061938062","0.1038961038961039","17.21978021978022","0.14285714285714285","13.801198801198801"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50","10","50"
,"10","50","10","50","9","50","8","50","9","50","8","50","10","50","8","50","8","50","8","50","9","50","9","50","7","50","8","50","10","50","10","50","9","50","7","50","9","50","10","50"
,"8","49","10","49","9","47","8","50","8","49","8","50","9","49","6","48","7","47","8","49","8","45","8","48","4","50","7","49","9","48","8","46","7","49","7","50","8","47","9","50"
,"8","48","6","48","7","46","7","49","7","47","7","49","8","48","4","48","7","47","7","48","8","44","8","48","4","48","7","46","8","47","8","44","7","49","5","48","7","46","7","48"
,"8","47","5","48","7","45","7","48","7","46","7","49","8","47","4","48","7","46","7","47","6","44","5","48","4","45","7","46","5","47","8","43","7","49","5","48","7","46","7","48"
