"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-plus-trap-2.0"
"10/29/2022 00:09:58:977 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",,"2",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","2","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","2","0","1","0","2","0","1","0","1","0","1","0","1"
"[min]","0","2","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","2","0","1","0","2","0","1","0","1","0","1","0","1"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","0.2777222777222777","2.346653346653347","1.264957264957265","2.4316239316239314","0.9939759036144579","2.210843373493976","0.23676323676323677","1.7802197802197801","0.5403508771929825","2.856140350877193","0.47633136094674555","2.062130177514793","0.27972027972027974","1.4435564435564436","0.21078921078921078","2.043956043956044","1.256578947368421","3.138157894736842","0.15284715284715283","1.3516483516483517","0.3336663336663337","1.6823176823176824","0.24875124875124874","1.7582417582417582","0.17582417582417584","1.947052947052947","0.1998001998001998","3.132867132867133","0.2787212787212787","2.272727272727273","0.0959040959040959","3.0719280719280717","1.0524590163934426","1.780327868852459","0.8564593301435407","3.1626794258373208","2.1510791366906474","2.3956834532374103","0.21678321678321677","1.4575424575424576"
"[steps]","1000","1000","233","233","165","165","1000","1000","284","284","337","337","1000","1000","1000","1000","151","151","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","304","304","208","208","138","138","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"9","10","10","9","10","10","9","10","7","9","10","10","10","9","10","9","8","10","9","9","9","10","8","10","9","10","10","9","8","9","7","10","9","8","9","9","9","9","8","10"
,"9","10","9","9","10","7","8","9","7","9","7","10","10","9","8","7","8","10","9","9","9","9","6","10","9","9","10","9","8","9","7","10","9","6","9","9","9","8","8","10"
,"9","9","9","9","10","6","8","9","7","8","6","10","9","9","8","7","7","9","8","9","8","9","6","10","8","9","9","8","8","9","7","10","9","6","9","9","8","8","7","10"
,"9","9","9","9","8","6","7","9","7","7","5","10","8","9","8","7","7","9","8","8","8","9","6","9","8","9","9","8","8","9","7","10","8","6","9","9","7","8","7","10"
