"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"base-model-experiment-traps"
"10/27/2022 21:53:01:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"yellow-food-percentage","2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",,"2.4",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"trap-percentage","1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",,"1.7",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","2","0","1","0","1","0","2","0","1","0","2","0","3","0","2","0","1","0","1","0","2"
"[min]","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","0","2","0","1","0","1","0","2","0","1","0","2","0","3","0","2","0","1","0","1","0","2"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","0.36863136863136864","1.2967032967032968","0.21178821178821178","2.026973026973027","0.8806451612903226","3.2483870967741937","0.2571428571428571","3.617857142857143","0.22287735849056603","1.9528301886792452","0.2837162837162837","2.3996003996003994","0.2837162837162837","1.5034965034965035","0.24475524475524477","1.4715284715284715","0.16883116883116883","1.4885114885114885","0.2817182817182817","2.358641358641359","0.22977022977022976","1.5764235764235763","0.6419753086419753","2.3703703703703702","0.2007992007992008","2.4705294705294705","0.23376623376623376","1.3106893106893107","0.15184815184815184","2.874125874125874","0.23076923076923078","3.6563436563436564","0.3646353646353646","2.2677322677322675","1.488235294117647","4.729411764705882","0.23076923076923078","1.3666333666333665","0.47652347652347654","2.260739260739261"
"[steps]","1000","1000","1000","1000","309","309","279","279","847","847","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","323","323","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","169","169","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","10","10","9","10","10","10","10","10"
,"9","8","8","10","10","10","8","10","9","10","10","9","9","10","10","9","8","8","10","10","9","8","9","9","7","10","10","10","10","9","10","9","9","9","8","10","9","10","9","10"
,"9","8","8","9","10","10","7","10","9","9","10","9","8","10","9","8","7","8","9","10","9","8","8","8","6","10","10","9","9","9","10","9","9","9","8","10","9","9","9","9"
,"9","7","8","9","10","10","5","10","9","9","10","9","8","10","9","8","7","7","9","10","9","6","8","8","5","10","10","9","9","9","10","9","9","9","8","10","9","9","9","9"
