"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-default"
"10/29/2022 00:40:32:730 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","1","0","4","0","4","0","2","0","2","0","5","0","4","0","3","0","6","0","2","0","4","0","1","2","1","0","1","0","5","0","2","0","9","0","1","0","3","0","3"
"[min]","0","1","0","4","0","4","0","2","0","2","0","5","0","4","0","3","0","6","0","2","0","4","0","1","2","1","0","1","0","5","0","2","0","9","0","1","0","3","0","3"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","0.987012987012987","2.884115884115884","0.6713286713286714","7.495504495504496","0.6983016983016983","5.604395604395604","0.5694305694305695","5.975024975024975","1.4605394605394606","5.907092907092907","0.6503496503496503","8","1.1318681318681318","7.941058941058941","0.7202797202797203","4.360639360639361","0.5704295704295704","7.2607392607392605","0.6463536463536463","4.683316683316684","0.6983016983016983","5.4945054945054945","1.6533466533466534","3.127872127872128","2.938061938061938","5.048951048951049","0.7202797202797203","4.495504495504496","0.4725274725274725","7.376623376623376","1.08991008991009","3.943056943056943","0.8991008991008991","9.91108891108891","0.6723276723276723","3.5954045954045952","1.097902097902098","4.943056943056943","0.5604395604395604","5.551448551448551"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","18","18","18","18","18","17","18","17","18","17","18","17","18","17","18","18","18","17","18","18","18","17","18","17","18","18","18","18","18","18","18","18","18","18","18"
,"16","16","18","18","16","17","16","17","17","18","17","18","16","17","17","18","15","17","15","18","18","18","16","17","17","18","17","16","16","18","18","18","18","17","18","17","18","17","17","18"
,"16","15","17","18","15","17","16","17","16","17","16","18","16","17","16","18","15","17","15","18","18","18","15","17","17","18","16","16","15","18","16","18","17","17","15","17","18","17","15","17"
,"15","15","15","18","15","17","16","17","15","17","15","18","15","17","15","18","14","17","15","17","17","16","14","17","17","18","15","16","15","18","15","18","16","16","15","17","17","16","15","17"
,"14","15","15","18","15","16","16","17","14","17","15","18","15","17","15","17","13","17","14","17","16","16","12","17","17","18","14","16","14","18","14","18","16","16","15","17","17","15","15","17"
,"14","15","14","18","15","16","16","17","14","17","13","17","15","17","14","17","13","16","14","16","16","15","12","17","17","18","13","16","13","17","13","18","16","16","15","17","17","14","15","17"
,"12","14","14","18","15","16","14","17","14","17","13","17","14","17","14","16","13","16","14","16","16","15","12","17","17","17","13","16","13","17","11","18","15","16","15","17","15","14","14","17"
,"12","14","14","18","15","16","13","17","14","17","13","17","14","16","14","16","13","16","14","16","15","15","12","17","17","16","13","16","13","17","11","18","15","16","15","17","15","14","14","17"
,"12","14","14","18","15","16","13","17","14","17","13","17","14","16","12","15","13","15","14","16","15","15","12","17","17","16","10","16","12","17","11","17","15","16","15","16","15","14","14","17"
,"11","14","14","18","15","16","11","17","14","17","12","16","14","16","12","14","11","15","12","16","15","15","12","17","16","16","10","16","12","17","11","16","15","16","15","16","15","14","14","17"
,"11","13","14","18","15","16","11","16","14","17","12","16","13","16","12","13","9","15","11","16","15","15","12","17","16","16","10","16","12","17","11","14","15","16","14","16","14","14","14","17"
,"11","13","13","18","15","16","11","16","14","17","12","16","13","16","12","13","8","15","11","16","14","15","12","17","16","16","10","16","9","16","10","14","15","16","14","14","14","14","13","17"
,"11","13","13","18","14","16","11","15","13","17","11","16","13","16","12","12","8","15","11","15","13","15","12","16","15","16","9","16","8","16","10","14","15","16","12","14","14","14","13","17"
,"11","13","12","18","13","16","10","15","13","16","9","16","13","16","12","12","8","14","11","15","13","15","12","16","14","16","8","16","8","16","10","13","15","16","12","14","14","13","11","17"
,"11","13","12","18","11","16","10","15","13","16","9","16","13","16","12","12","7","14","11","15","13","15","12","15","13","16","8","16","8","16","9","13","15","16","12","14","14","13","11","17"
,"10","12","11","16","11","16","9","15","12","16","9","16","12","16","12","11","7","14","10","15","13","15","12","15","13","16","8","16","7","14","9","13","15","16","11","14","13","13","10","17"
,"10","12","11","16","11","16","7","15","12","16","9","16","12","16","12","11","6","14","10","15","12","15","11","15","13","16","8","16","6","14","9","13","15","16","11","14","13","13","10","17"
,"10","12","11","16","11","15","7","15","12","15","9","15","12","16","12","11","6","14","10","15","12","14","11","15","13","16","8","16","5","14","9","13","15","16","10","14","13","13","9","17"
,"10","12","10","16","11","15","6","15","12","15","9","15","12","16","12","11","6","14","10","15","12","14","11","14","13","16","8","16","4","13","9","13","14","16","9","14","13","13","8","16"
,"9","12","10","16","11","15","6","15","11","14","7","15","12","16","12","11","5","14","10","15","12","14","11","14","13","16","8","15","3","13","9","12","13","15","9","14","12","13","8","16"
,"9","12","10","16","11","15","6","15","11","14","7","15","12","16","12","11","4","13","10","15","12","14","11","14","13","16","8","15","3","13","9","12","12","15","8","14","12","13","8","16"
,"9","12","9","16","11","15","5","15","11","14","7","15","12","16","12","11","4","13","9","15","11","14","11","14","13","16","8","15","3","13","9","12","12","15","8","14","12","13","8","16"
,"9","12","9","16","11","15","5","15","11","14","7","15","11","16","12","10","4","13","9","14","11","14","10","13","13","16","8","15","3","13","9","12","11","15","8","14","12","13","7","16"
,"9","12","9","16","10","15","4","15","10","13","7","15","11","16","12","10","4","13","9","14","10","13","10","13","13","16","8","15","3","13","9","12","11","15","8","14","12","13","7","16"
,"9","12","9","16","10","15","4","15","9","13","7","15","11","16","12","10","4","13","9","14","10","13","10","12","13","16","8","15","3","13","9","11","11","15","7","14","12","13","6","16"
,"9","12","8","16","9","15","4","15","9","13","7","15","11","16","12","10","4","13","9","14","10","13","10","12","12","15","8","15","3","13","9","11","11","15","7","14","12","13","6","16"
,"9","12","8","16","9","15","4","14","9","13","7","14","11","16","12","10","4","13","9","14","9","13","10","12","11","15","8","15","3","13","9","11","10","15","7","14","12","13","5","16"
,"9","12","8","16","8","15","4","14","8","13","7","14","10","16","11","9","4","13","9","14","9","13","10","12","11","15","8","15","3","13","8","11","10","15","7","14","12","13","5","16"
,"9","12","8","16","8","15","4","13","8","13","7","14","10","16","11","9","4","13","8","14","8","13","10","12","11","15","8","15","3","13","7","11","10","15","7","14","11","13","5","16"
,"9","12","8","16","7","15","4","13","8","13","7","14","9","16","10","9","3","13","8","14","8","13","9","12","11","15","8","15","3","13","7","11","10","15","7","14","11","13","5","16"
,"9","12","8","16","7","15","4","13","7","13","7","14","9","16","10","9","3","13","8","14","8","13","9","12","11","15","8","15","2","13","7","11","10","15","7","14","11","13","5","16"
,"9","12","8","16","6","15","4","13","7","12","7","14","9","16","9","9","3","13","8","14","8","13","9","12","11","15","8","15","2","13","7","10","9","15","7","14","10","13","5","16"
,"9","12","8","16","6","15","4","13","7","12","7","14","9","16","9","8","3","12","8","13","8","12","8","12","11","15","8","15","2","13","7","10","9","15","7","14","10","13","5","16"
,"9","12","7","16","6","15","4","13","7","12","6","14","9","16","9","8","3","12","8","13","8","12","8","12","11","15","8","14","2","13","7","10","7","15","7","14","10","13","5","16"
,"8","12","7","16","6","15","4","13","6","12","6","14","9","16","9","8","2","12","8","13","8","12","8","12","11","15","8","14","2","13","7","10","7","15","7","14","10","13","4","16"
,"8","12","7","16","5","15","4","13","6","12","6","14","9","16","9","8","2","12","7","13","8","12","8","12","11","15","8","14","1","13","7","10","7","15","7","14","10","12","3","16"
,"7","12","7","16","5","15","4","13","6","12","6","14","9","16","9","8","2","12","7","13","6","12","7","12","11","14","8","14","1","13","7","10","7","15","7","14","10","12","3","16"
,"7","12","7","16","5","15","4","13","6","12","6","14","9","16","9","8","2","12","7","12","6","11","6","12","11","13","8","13","1","13","7","10","7","15","7","14","10","12","3","16"
,"7","12","7","16","5","15","4","13","6","12","6","14","9","16","8","8","2","12","7","12","5","11","6","12","11","13","7","13","1","13","7","10","7","15","6","14","10","12","3","16"
,"7","12","7","16","5","15","3","13","6","12","4","14","9","16","7","8","2","12","7","12","5","11","6","12","11","13","7","13","1","13","6","10","6","15","6","14","10","12","3","16"
,"7","12","7","15","5","14","3","13","6","12","4","14","9","16","7","8","2","12","7","12","5","11","6","12","11","13","7","13","1","13","6","10","6","15","6","14","10","12","3","16"
,"7","12","7","15","5","14","3","13","6","12","4","14","9","16","7","8","2","12","7","12","5","11","6","12","11","13","7","13","1","13","6","10","5","15","6","13","10","12","3","16"
,"7","12","7","15","4","13","3","13","6","12","4","14","8","16","7","8","2","12","7","12","5","11","6","12","11","13","6","13","1","13","6","10","5","15","6","13","10","12","3","16"
,"7","12","7","15","4","13","3","13","6","12","4","14","8","16","7","8","2","12","7","12","5","11","6","12","10","13","5","13","1","13","6","10","5","15","6","13","10","12","3","16"
,"7","12","7","15","4","13","3","13","6","12","4","14","8","16","6","8","2","12","5","12","5","11","6","12","10","13","5","13","1","13","6","10","5","15","6","13","10","12","3","16"
,"7","12","6","15","4","13","3","13","6","12","4","14","8","16","6","8","2","12","5","12","5","11","6","12","10","13","5","13","1","13","6","10","5","15","6","13","10","12","3","16"
,"7","12","6","15","4","13","3","13","6","12","4","14","6","16","6","8","2","12","4","12","4","11","6","12","10","13","5","13","1","13","6","10","5","14","6","13","10","12","3","16"
,"7","12","6","15","4","13","3","13","6","12","4","14","6","15","5","8","2","12","4","12","4","11","6","12","10","13","5","12","1","13","6","10","5","14","6","13","9","12","3","16"
,"7","12","6","15","3","13","3","13","6","12","4","13","6","15","5","8","2","12","4","12","4","11","6","12","10","13","5","12","1","13","6","10","5","14","6","13","9","12","2","16"
,"7","12","4","15","3","13","3","13","6","12","4","13","6","15","5","8","2","12","4","12","4","11","6","12","10","13","5","12","1","12","6","10","5","14","6","13","9","12","2","16"
