"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-basic-min-energy-0"
"10/29/2022 00:45:15:407 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","5","0","2","0","3","0","2","0","4","0","2","0","1","0","8","0","4","0","2","0","4","0","1","0","3","0","3","0","3","0","3","0","2","0","4","0","2","0","3"
"[min]","0","5","0","2","0","3","0","2","0","4","0","2","0","1","0","8","0","4","0","2","0","4","0","1","0","3","0","3","0","3","0","3","0","2","0","4","0","2","0","3"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","1.8231768231768233","7.58941058941059","1.4705294705294705","4.573426573426573","1.3836163836163837","6.34965034965035","1.3226773226773227","4.220779220779221","1.7472527472527473","5.234765234765235","1.0769230769230769","4.448551448551449","1.867211440245148","4.903983656792645","1.112887112887113","8.89010989010989","1.1768231768231767","5.046953046953047","1.7392607392607393","3.341658341658342","1.6593406593406594","6.024975024975025","1.8941058941058941","4.921078921078921","1.7682317682317683","5.245754245754246","1.7802197802197801","6.281718281718281","1.4685314685314685","4.171828171828172","1.6633366633366633","5.1338661338661336","2.1188811188811187","4.64935064935065","1.4735264735264735","5.732267732267732","2.046953046953047","4.418581418581419","2.7072927072927073","5.77022977022977"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","978","978","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","17","18","17","18","18","17","18","17","16","18","17","18","17","18","16","17","17","17","18","18","16","18","18","18","17","17","18","18","18","18","17","18","16","17","16"
,"18","18","17","17","18","16","18","16","17","18","16","18","15","16","18","16","18","17","17","16","17","15","17","17","17","15","18","17","18","17","17","18","18","17","18","17","18","16","17","16"
,"18","18","17","16","18","16","18","16","16","18","16","18","15","16","18","16","18","17","17","15","17","14","17","17","17","15","17","17","17","17","17","18","18","15","18","17","18","16","17","16"
,"18","16","16","15","18","16","18","16","16","18","16","17","15","15","17","16","17","17","17","15","17","14","17","17","15","15","16","17","16","15","17","18","17","15","18","16","18","16","17","16"
,"17","16","15","15","18","16","17","15","16","18","16","17","14","15","16","16","17","17","17","15","16","14","17","17","15","15","16","17","16","15","17","18","17","15","18","16","18","16","15","16"
,"16","16","15","14","17","16","17","15","16","17","16","17","13","15","16","16","17","16","17","15","14","14","17","17","15","15","16","17","16","15","17","18","17","15","18","15","18","15","14","16"
,"16","16","13","14","17","15","17","15","16","17","16","17","13","15","16","16","17","16","17","14","14","14","17","14","15","14","16","17","15","15","17","18","17","15","18","15","18","15","14","16"
,"16","16","13","14","16","15","16","14","16","17","15","17","13","15","16","16","17","16","17","14","14","14","17","14","15","14","15","17","15","15","17","17","17","15","17","15","17","15","14","16"
,"16","16","12","14","16","15","16","14","14","16","14","17","13","15","15","16","17","16","17","14","14","14","17","14","15","14","15","16","15","15","15","17","17","14","17","15","17","15","14","16"
,"16","15","12","13","16","15","15","14","14","16","14","17","13","15","15","16","17","16","17","13","14","14","17","13","15","14","15","16","15","15","15","17","17","14","17","15","17","15","14","16"
,"16","15","12","13","16","15","15","14","14","16","14","17","13","15","15","16","17","16","17","13","13","14","17","12","15","14","15","16","15","15","14","17","17","14","17","15","17","13","14","16"
,"15","15","11","13","16","15","15","14","14","15","14","17","12","14","15","15","17","16","17","13","13","14","17","12","14","14","15","16","15","15","14","17","16","14","17","15","17","13","14","15"
,"15","15","11","13","16","15","14","14","14","15","14","16","12","14","15","15","17","16","16","13","13","13","17","12","14","14","15","16","15","14","14","17","16","14","17","14","16","13","14","15"
,"14","15","11","13","16","15","14","14","14","14","13","16","11","14","15","15","17","14","16","13","12","13","17","12","13","14","15","16","15","14","14","17","16","13","17","14","16","12","14","15"
,"14","14","11","13","16","15","14","14","13","14","13","15","11","14","14","15","17","14","16","13","12","13","17","12","13","12","15","16","15","13","14","17","16","13","17","14","15","12","14","15"
,"14","13","11","13","16","15","13","14","13","14","13","15","10","14","12","15","17","14","15","13","12","13","17","12","13","12","15","16","15","13","14","17","16","13","16","14","15","12","14","15"
,"14","13","11","13","16","15","13","14","13","14","13","15","10","14","12","15","17","14","15","13","12","13","17","12","12","12","15","16","15","13","14","17","16","13","16","14","15","12","14","14"
,"14","13","11","13","16","15","13","14","13","14","13","14","10","14","12","15","17","12","15","13","12","13","17","12","12","12","15","16","15","13","14","16","16","13","15","14","15","12","14","14"
,"14","13","11","12","16","14","13","14","13","14","13","14","10","14","12","15","17","12","15","13","12","13","17","12","11","12","15","16","14","13","14","16","16","13","14","14","15","12","14","14"
,"13","13","11","12","16","14","13","14","13","14","13","14","10","14","12","15","17","12","15","13","12","13","16","12","11","12","15","16","14","13","13","16","16","13","14","14","15","12","14","14"
,"13","13","11","12","15","14","13","14","12","14","13","14","10","14","12","14","17","12","15","13","12","13","16","12","11","12","15","16","14","13","13","16","16","13","13","14","13","12","14","14"
,"13","13","11","12","15","14","13","14","12","13","13","14","10","14","12","14","17","12","15","13","12","12","16","12","10","12","15","16","13","12","13","16","16","13","13","14","13","12","14","14"
,"13","13","10","12","15","14","13","14","12","13","13","14","9","14","12","14","17","12","14","13","12","12","16","12","10","12","14","16","13","12","13","16","16","13","13","14","12","12","14","14"
,"13","13","10","12","14","14","13","13","12","13","13","13","9","14","12","14","17","12","14","12","12","12","16","12","10","12","14","16","13","11","13","16","16","13","13","14","12","12","14","14"
,"13","13","10","12","13","14","13","13","11","13","13","13","9","14","12","14","17","12","14","12","12","12","16","12","10","12","14","16","13","11","13","16","16","13","13","13","12","12","14","14"
,"13","13","10","12","13","14","13","12","9","13","13","13","9","13","12","14","16","12","14","12","11","12","16","12","10","11","14","16","13","11","13","16","15","13","13","13","12","12","14","14"
,"13","13","10","12","13","14","13","12","9","13","13","13","9","13","12","14","15","12","14","12","11","12","16","12","10","11","14","16","13","11","13","16","15","13","13","13","12","12","14","14"
,"13","13","10","12","12","14","13","12","9","13","13","13","9","13","12","14","15","12","14","12","9","12","15","12","10","11","13","16","13","11","13","16","14","13","13","13","11","12","14","14"
,"13","13","9","12","12","14","13","11","9","12","13","13","9","13","12","14","15","12","14","12","9","12","15","12","9","11","13","16","13","11","13","16","14","13","13","13","11","12","14","14"
,"13","13","8","12","12","13","13","11","9","12","13","13","9","13","12","14","15","12","14","12","9","12","15","12","9","11","13","16","13","11","13","16","13","13","12","13","11","12","14","14"
,"13","13","8","12","12","13","13","11","9","12","13","13","9","13","12","14","15","12","14","12","9","12","15","12","9","11","13","16","13","11","13","16","13","13","12","13","11","12","14","14"
,"13","13","8","12","12","13","12","11","9","12","13","13","8","13","12","14","15","12","13","12","9","12","15","11","9","11","12","16","13","11","13","16","13","13","12","13","10","12","14","14"
,"13","13","8","12","12","13","12","11","9","12","13","13","7","13","10","14","15","12","12","12","8","12","15","11","9","11","12","16","12","11","13","16","13","13","12","13","10","12","14","14"
,"12","13","8","12","12","13","12","11","9","12","13","13","7","13","10","14","15","12","12","12","8","12","14","11","9","11","12","16","12","11","13","16","12","13","11","13","10","12","14","14"
,"12","13","8","12","12","13","12","11","9","12","12","13","7","13","10","14","15","11","12","12","8","12","14","11","9","11","12","16","12","11","13","16","12","13","11","13","10","12","14","14"
,"12","13","8","12","12","13","12","11","9","12","11","13","7","13","10","14","15","11","11","12","8","12","14","11","9","11","12","16","12","11","13","16","12","13","11","13","10","12","14","14"
,"11","13","8","12","12","13","11","11","9","12","11","13","7","13","10","14","14","11","11","12","8","12","14","11","9","11","12","16","12","11","13","16","12","13","11","13","10","12","14","14"
,"11","13","7","12","11","13","11","11","9","12","11","13","7","13","10","14","13","11","10","12","8","12","14","11","9","11","11","16","12","11","13","16","12","13","11","13","10","12","13","14"
,"11","13","7","12","11","13","11","11","9","12","11","13","7","13","10","14","13","11","10","11","8","11","14","11","9","11","11","16","12","11","13","16","12","13","11","13","10","12","13","14"
,"11","13","7","12","11","13","11","11","9","11","11","13","7","13","10","14","13","11","10","11","8","11","14","11","9","11","11","16","11","11","13","16","12","13","11","13","10","12","13","14"
,"10","13","7","12","11","13","11","11","9","11","11","13","7","13","10","14","13","11","10","10","8","11","13","11","9","11","11","16","11","11","12","16","12","13","10","13","10","12","12","14"
,"10","13","7","12","11","13","11","11","9","11","10","13","7","13","10","14","13","11","10","10","8","11","13","11","9","11","11","15","11","11","12","16","11","13","10","13","10","11","12","14"
,"9","13","7","12","11","13","11","11","9","11","10","13","7","13","10","14","13","11","10","10","7","11","13","11","9","11","11","15","11","10","12","16","11","13","10","13","10","11","12","14"
,"9","13","7","12","11","13","11","11","9","11","10","13","7","13","10","14","13","11","10","9","7","11","13","11","9","11","11","15","10","10","12","16","11","13","10","13","10","11","12","14"
,"9","13","7","12","11","13","11","11","9","11","10","13","7","13","10","14","13","11","10","9","7","11","13","11","9","11","11","15","10","10","12","16","10","13","10","13","10","11","11","14"
,"9","13","7","12","10","13","11","11","9","11","10","13","7","13","9","14","13","11","10","9","6","11","13","11","9","11","11","14","10","10","12","16","10","13","10","13","9","11","11","14"
,"9","13","7","12","10","13","11","11","9","11","10","12","7","13","9","14","13","11","10","8","6","11","13","11","9","11","11","14","10","9","12","16","10","13","10","13","9","11","11","14"
,"9","13","7","12","10","13","11","11","9","11","10","12","7","13","9","14","13","11","10","8","6","11","12","11","9","11","11","14","10","9","12","16","9","13","9","13","9","11","11","14"
,"9","13","7","12","10","13","11","10","9","11","9","11","7","13","9","13","13","11","10","8","6","11","12","11","9","11","10","14","10","9","12","15","9","13","9","13","9","11","11","14"
