"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-min-energy-30-plus-camouflage-100-plus-shelter-10-less-agents-10-plus-yellow-food-5.0"
"10/29/2022 02:44:38:440 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"n-shelter","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"expert-kill-basic-min-energy","30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","2","2","2","5","2","1","2","1","2","3","4","2","2","0","2","1","0","4","3","0","5","0","4","1","3","0","3","3","5","1","3","2","1","0","3","0","1","0","3","1"
"[min]","2","2","2","5","2","1","2","1","2","3","4","2","2","0","2","1","0","4","3","0","5","0","4","1","3","0","3","3","5","1","3","2","1","0","3","0","1","0","3","1"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
