"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-min-energy-30-plus-camouflage-100-plus-shelter-10-less-agents-10"
"10/29/2022 00:53:28:261 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"expert-kill-basic-min-energy","30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",
"n-basic-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"n-expert-agent","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","2","2","0","2","1","2","1","1","0","2","1","1","1","1","1","2","1","0","1","1","2","3","0","2","2","3","1","0","0","3","0","2","1","3","1","2","0","2","0","2"
"[min]","2","2","0","2","1","2","1","1","0","2","1","1","1","1","1","2","1","0","1","1","2","3","0","2","2","3","1","0","0","3","0","2","1","3","1","2","0","2","0","2"
"[max]","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"[mean]","3.9050949050949053","2.918081918081918","0.6723276723276723","3.1358641358641357","1.5594405594405594","3.4645354645354645","1.5004995004995005","3.1868131868131866","1.071928071928072","2.81018981018981","2.5404595404595405","2.969030969030969","1.5994005994005993","3.220779220779221","2.688311688311688","3.6203796203796204","2.212213740458015","2.187786259541985","1.8451548451548452","2.2237762237762237","4.43956043956044","3.3206793206793206","1.3556443556443556","3.4405594405594404","2.6363636363636362","4.778221778221778","1.8281407035175878","1.7628140703517587","0.4855144855144855","3.4055944055944054","2.214785214785215","3.7062937062937062","1.7922077922077921","3.635364635364635","1.7382617382617382","2.986013986013986","1.951048951048951","3.7072927072927073","1.3076923076923077","3.999000999000999"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","654","654","1000","1000","1000","1000","1000","1000","1000","1000","994","994","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
,"10","9","10","10","10","10","10","10","9","10","10","10","10","8","10","10","9","10","9","10","10","10","10","10","10","10","10","9","10","10","10","10","10","10","10","9","10","10","10","10"
,"9","9","9","10","10","9","10","10","9","10","10","10","10","8","10","10","9","8","9","10","10","10","10","10","10","10","10","9","10","9","10","10","10","10","10","9","10","10","9","10"
,"9","9","9","10","10","8","9","10","9","10","10","9","10","8","10","10","9","8","9","10","10","10","10","10","10","10","10","8","10","8","8","10","10","10","10","9","10","9","9","10"
,"9","9","8","10","10","8","9","9","9","10","10","9","10","8","9","9","9","8","9","10","10","10","10","10","9","10","10","8","10","8","8","10","10","10","10","9","10","9","9","10"
,"9","9","7","10","10","8","9","9","9","9","10","9","10","8","9","9","9","7","9","10","10","10","9","10","8","10","10","8","9","8","8","10","10","9","10","8","10","9","8","10"
,"9","9","7","10","10","8","9","9","9","8","10","9","10","8","9","9","9","6","8","10","10","10","9","10","8","10","10","8","9","8","8","10","9","9","10","8","10","9","8","10"
,"9","9","7","10","10","8","9","8","9","8","9","9","10","8","9","9","9","6","8","9","10","10","8","10","8","10","10","8","9","7","8","10","9","9","10","8","10","9","8","10"
,"9","9","7","10","9","8","9","8","8","8","9","9","10","8","9","9","9","6","7","9","10","10","8","9","8","10","10","8","9","7","8","10","9","9","10","8","10","9","8","10"
,"9","9","7","10","9","8","9","8","8","8","9","9","10","8","9","9","9","6","7","9","10","9","8","9","8","10","10","8","9","7","8","10","9","9","10","8","9","9","8","10"
,"9","9","7","10","8","8","9","8","8","8","9","9","10","8","9","9","9","6","7","9","10","9","8","8","8","10","10","8","9","7","8","10","9","9","10","8","9","9","8","10"
,"9","9","7","9","8","8","9","8","7","8","9","9","9","8","9","9","9","6","7","9","10","8","8","8","8","10","10","8","9","7","8","10","9","9","10","7","9","9","8","9"
,"9","9","7","9","8","8","8","8","7","8","9","8","9","8","9","9","9","6","7","9","10","8","8","8","8","10","10","8","9","7","8","10","9","9","9","7","9","8","8","9"
,"9","9","7","9","7","8","7","8","7","8","9","8","9","8","9","9","9","6","7","9","10","8","7","8","8","9","10","8","9","7","8","10","9","9","9","7","9","8","8","9"
,"9","9","6","9","7","8","7","8","7","8","9","8","9","8","9","9","9","6","7","8","10","7","7","8","8","9","10","8","9","7","8","10","9","9","9","7","9","8","8","9"
,"9","9","6","9","7","8","7","7","7","8","9","8","9","8","9","9","9","6","7","8","10","7","7","8","8","9","10","8","9","7","8","10","9","9","8","7","7","8","8","9"
,"8","9","6","9","7","8","7","7","7","8","9","8","9","8","9","9","9","6","6","8","10","7","7","8","8","9","10","8","9","7","8","10","9","9","7","7","7","8","8","8"
,"7","9","6","9","7","8","7","7","7","8","9","8","9","8","9","9","9","6","6","8","10","7","6","8","8","9","10","8","9","5","8","10","9","9","7","7","7","8","8","8"
,"7","9","6","9","7","8","6","7","7","8","9","8","9","8","9","9","9","6","5","8","10","7","6","8","8","9","9","8","9","5","8","10","9","9","7","7","7","8","8","8"
,"7","9","6","9","6","8","6","7","7","8","9","8","9","8","9","8","9","6","5","8","9","7","6","7","8","9","9","8","8","5","8","10","8","9","7","7","7","8","8","8"
,"7","8","6","9","6","7","6","7","7","8","9","8","9","8","9","8","9","6","5","8","9","7","6","7","8","9","9","8","8","4","8","10","8","9","7","7","7","8","8","8"
,"7","7","6","9","6","7","5","7","6","8","9","8","9","8","9","8","8","6","5","7","8","7","6","7","8","9","9","8","8","4","8","10","8","8","7","7","7","8","8","8"
,"7","7","6","9","6","7","5","7","6","7","8","8","9","8","9","8","8","6","5","7","8","7","6","7","8","9","9","8","7","4","8","10","8","8","7","7","7","8","8","8"
,"7","7","6","9","6","7","5","7","5","7","7","8","9","8","9","8","8","6","5","7","8","7","6","6","8","9","9","8","7","4","8","9","8","8","7","7","7","8","8","8"
,"7","7","6","9","6","7","5","7","5","6","7","8","9","8","9","8","8","5","5","7","8","7","6","6","8","9","9","8","7","4","8","9","8","8","7","6","7","8","8","8"
,"7","7","5","9","6","7","5","7","5","6","7","8","9","8","9","8","7","5","5","7","8","6","5","6","8","9","9","8","7","4","7","9","8","6","7","6","7","8","8","8"
,"7","7","5","9","6","7","5","7","5","6","6","7","9","8","9","8","7","5","5","7","8","6","5","6","8","9","9","8","7","4","7","9","8","6","7","6","7","8","8","8"
,"7","7","5","9","6","7","5","7","5","6","6","7","9","8","9","8","6","5","5","7","8","6","4","6","8","9","9","8","7","4","7","9","8","6","7","6","7","8","8","8"
,"7","7","5","9","6","7","4","7","5","6","6","7","9","8","9","8","6","5","5","7","8","6","4","6","8","9","9","8","7","4","7","9","8","6","7","6","7","8","7","8"
,"7","7","5","9","6","7","4","7","5","6","6","7","9","8","8","8","6","5","4","7","8","6","4","6","7","9","9","8","7","4","7","9","8","6","7","6","7","8","7","8"
,"7","7","5","9","6","7","4","7","5","6","6","7","9","8","8","8","6","5","4","7","8","6","4","6","7","9","9","7","7","4","6","9","8","5","7","6","7","8","7","8"
,"7","7","5","9","6","7","4","7","5","6","6","7","9","8","8","8","6","5","4","7","7","6","4","6","7","9","9","7","7","4","6","9","8","5","7","6","7","8","7","8"
,"7","7","5","9","6","7","4","7","5","6","6","6","9","8","8","8","6","5","4","7","7","6","4","6","7","9","9","7","7","4","6","9","8","5","7","6","7","8","7","8"
,"7","7","5","9","6","7","4","6","5","6","6","6","9","7","7","8","6","5","4","7","7","6","4","6","7","9","9","7","7","4","6","9","8","5","7","6","7","8","7","8"
,"7","7","5","9","5","7","4","6","5","6","6","6","9","7","7","8","6","5","4","7","7","5","4","6","7","9","9","7","7","4","6","9","8","5","7","6","7","8","7","8"
,"7","7","5","9","5","7","4","6","5","6","6","6","9","7","7","8","6","5","4","7","7","5","4","6","7","9","8","7","7","4","6","9","8","5","7","6","7","8","7","8"
,"7","7","5","9","5","7","4","6","5","6","6","6","9","7","7","8","6","5","4","7","7","5","4","6","7","9","8","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","7","4","9","4","7","4","6","5","6","6","6","9","7","7","8","6","4","4","7","7","5","4","6","7","9","8","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","7","4","9","4","7","4","6","5","6","6","6","9","7","7","8","6","4","4","7","7","5","4","6","7","9","8","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","9","7","7","8","6","4","4","7","7","5","4","6","7","9","8","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","9","7","7","8","6","4","4","7","7","5","4","6","7","9","8","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","9","7","7","7","6","4","4","7","7","5","4","6","7","9","8","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","8","7","7","7","6","4","4","7","7","5","4","6","7","9","7","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","8","7","7","7","6","4","4","7","7","5","4","6","7","9","7","7","6","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","8","7","7","7","6","4","4","7","7","5","4","6","7","9","7","7","5","4","6","9","7","5","7","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","5","6","6","6","7","7","7","7","6","4","4","7","7","5","4","6","7","9","7","7","5","4","6","9","7","5","6","5","6","8","7","8"
,"7","6","4","9","4","7","4","6","4","6","6","6","7","7","7","7","5","4","4","7","7","5","4","6","7","9","7","7","5","4","6","9","7","5","6","5","6","8","7","8"
,"7","6","4","9","3","7","4","6","3","6","6","6","6","7","7","7","5","4","4","7","7","5","4","6","7","9","7","7","5","4","6","9","7","5","5","5","6","8","7","8"
,"7","6","4","9","3","7","4","6","3","6","6","6","6","7","7","7","5","4","4","7","7","5","4","6","7","9","7","7","5","4","6","9","7","5","5","5","6","8","6","8"
