"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-min-energy-30-plus-camouflage-100-plus-shelter-10"
"10/29/2022 00:52:27:408 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"expert-kill-basic-min-energy","30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","2","5","1","0","0","1","2","4","1","3","0","1","0","3","1","2","2","4","1","2","0","5","1","3","0","2","0","4","0","2","0","3","2","3","1","2","1","4","1","2"
"[min]","2","5","1","0","0","1","2","4","1","3","0","1","0","3","1","2","2","4","1","2","0","5","1","3","0","2","0","4","0","2","0","3","2","3","1","2","1","4","1","2"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","3.231768231768232","7.542457542457543","2.787212787212787","2.878121878121878","2.3546453546453545","2.5574425574425574","4.4995004995005","6.5174825174825175","2.857142857142857","4.562437562437562","2.1588411588411587","4.16983016983017","2.845154845154845","6.188811188811189","3.051948051948052","5.438561438561439","2.98001998001998","6.488511488511488","2.5004995004995005","3.8931068931068933","1.2547452547452547","7.107892107892108","4.035964035964036","7.137862137862138","1.3486513486513487","6.828171828171828","2.092907092907093","6.912087912087912","1.2897102897102897","4.4125874125874125","2.2687312687312686","5.084915084915085","3.265734265734266","6.178821178821178","3.058941058941059","4.931068931068931","2.4475524475524475","6.724275724275724","3.5814185814185815","3.797202797202797"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"17","18","18","17","17","17","18","15","17","17","18","18","18","18","16","17","18","15","17","18","18","16","16","18","17","18","18","18","17","18","18","18","16","18","18","18","18","18","18","17"
,"17","17","17","17","17","16","18","15","17","17","18","16","17","17","16","16","18","15","16","18","18","15","16","18","17","18","18","18","17","17","18","18","14","18","17","18","18","18","18","16"
,"17","17","17","17","17","16","18","15","16","16","17","16","17","17","16","15","18","15","16","17","18","14","16","17","16","18","18","18","15","16","18","17","14","18","16","18","18","18","18","16"
,"17","17","17","17","17","16","18","15","16","15","17","16","17","17","14","15","18","15","15","17","18","14","15","17","16","18","17","18","14","16","18","17","14","18","16","17","17","18","18","16"
,"17","16","17","17","17","16","18","15","15","15","15","16","17","17","14","15","18","15","15","17","18","14","14","17","16","18","17","18","14","16","17","17","14","18","16","17","16","18","18","16"
,"17","16","17","17","17","16","18","15","15","14","15","15","17","16","13","15","18","15","15","17","18","14","14","17","16","18","16","18","14","16","17","17","14","18","16","16","15","18","18","16"
,"17","16","17","17","17","16","18","15","15","14","15","15","16","16","13","15","18","15","15","17","18","13","14","17","16","18","15","17","14","16","17","17","14","18","16","15","15","17","18","16"
,"16","16","16","17","17","16","18","14","15","14","15","15","16","16","13","15","18","15","15","17","18","13","14","17","16","18","15","17","14","16","17","17","14","18","16","15","14","17","18","16"
,"16","16","16","17","17","16","18","13","15","14","15","15","16","16","13","15","18","15","15","17","18","13","14","17","16","18","15","17","14","16","17","17","13","18","16","14","14","17","18","16"
,"16","16","16","17","17","16","18","13","15","14","15","15","16","16","12","15","17","15","15","17","17","13","14","17","16","17","15","17","14","16","17","17","13","17","16","14","13","17","18","16"
,"16","16","15","17","17","16","18","13","15","14","15","15","16","16","12","15","17","14","15","16","17","13","14","17","16","17","15","17","14","16","16","17","13","17","16","14","12","16","18","15"
,"16","16","15","17","16","16","18","13","15","14","14","15","16","16","12","15","17","14","14","16","15","13","14","17","16","17","15","17","13","16","16","16","13","17","15","14","12","16","18","15"
,"16","15","14","17","16","16","18","13","15","14","14","15","16","16","10","15","17","14","14","15","14","13","14","17","16","16","15","17","13","16","16","16","13","17","14","14","11","16","17","14"
,"16","15","14","17","16","15","17","13","14","14","14","15","15","16","10","15","17","14","14","15","14","12","14","17","16","16","14","17","13","16","16","13","13","17","14","13","11","16","17","14"
,"15","15","14","17","16","14","17","13","14","13","14","15","15","16","10","15","17","14","14","15","14","12","14","17","16","15","14","16","13","16","15","13","13","17","14","13","10","16","17","14"
,"15","15","14","16","16","14","17","13","14","13","14","15","15","16","10","14","17","14","14","15","13","12","14","17","14","15","14","14","13","15","15","13","12","17","14","13","10","16","17","14"
,"15","15","14","16","16","14","17","12","14","13","14","15","15","15","10","14","17","14","13","15","13","12","14","16","14","15","14","13","13","15","15","13","12","17","14","13","10","16","17","14"
,"15","15","13","16","16","14","16","12","14","13","14","15","15","15","10","14","17","14","13","15","13","12","14","16","13","15","14","13","13","15","15","13","12","17","14","13","10","16","16","14"
,"15","15","13","16","16","14","16","12","14","13","14","15","15","15","10","14","16","14","13","14","12","12","14","16","13","14","14","13","13","15","15","12","12","17","14","13","10","16","16","14"
,"14","15","13","16","16","14","16","12","14","13","14","15","15","15","10","14","16","14","13","14","12","12","14","16","13","14","14","13","13","15","15","12","12","17","14","13","10","16","16","14"
,"13","15","13","16","16","14","16","12","14","13","14","15","15","15","10","14","16","13","13","13","12","12","14","16","13","14","14","13","13","15","15","12","12","17","14","13","9","16","16","14"
,"13","15","13","16","16","13","16","12","14","13","13","15","15","15","10","14","16","13","12","13","11","12","14","16","13","14","14","13","13","15","15","12","12","17","14","13","9","16","16","14"
,"13","15","13","16","16","13","16","12","14","13","12","15","15","15","10","14","16","13","12","13","11","12","14","16","13","14","14","13","13","15","15","12","11","17","14","13","9","16","16","14"
,"13","15","13","15","16","12","16","12","13","13","12","15","15","15","10","14","16","13","12","13","11","12","14","16","11","14","14","13","11","15","15","12","11","17","14","13","9","16","16","14"
,"12","15","12","15","15","12","16","12","13","13","12","15","15","15","10","14","15","13","11","12","11","12","14","16","11","13","14","13","11","15","15","12","11","17","14","13","9","16","16","14"
,"11","15","12","15","15","12","16","12","13","13","12","15","14","15","10","14","15","13","10","12","10","12","14","16","11","13","14","13","11","15","15","12","11","17","14","13","9","15","16","14"
,"11","15","12","15","15","12","16","11","13","13","12","14","13","15","10","14","15","13","10","12","10","12","14","16","11","13","14","13","10","15","14","12","11","17","14","13","9","15","16","14"
,"11","15","12","15","15","12","16","11","12","13","12","14","13","15","10","14","14","13","10","12","10","12","14","16","11","13","14","13","10","14","14","12","11","16","14","13","9","15","16","14"
,"11","15","12","15","15","12","16","11","12","13","12","14","12","14","10","14","14","13","10","11","10","12","14","16","11","13","14","13","10","14","14","12","11","16","14","13","9","15","16","14"
,"10","15","12","15","15","12","16","11","12","13","11","14","12","14","10","14","13","13","10","11","10","12","14","16","11","13","14","13","10","14","14","12","11","16","14","13","9","15","15","14"
,"10","15","12","15","15","12","16","11","12","12","11","14","12","14","10","14","13","13","9","11","10","12","14","16","9","13","14","13","10","14","14","12","11","16","14","13","9","15","15","14"
,"10","15","12","15","15","12","16","11","12","12","11","14","12","14","10","14","13","13","9","11","10","12","14","16","9","13","14","13","10","14","14","11","11","16","14","13","9","14","14","14"
,"10","15","12","15","15","12","16","11","12","12","11","14","12","14","10","14","13","13","9","11","10","12","14","16","9","13","14","13","10","14","14","11","11","16","14","13","9","14","14","14"
,"10","15","12","15","15","12","16","11","12","12","11","14","12","14","10","14","13","13","9","11","10","12","14","16","8","13","14","13","10","14","14","11","11","16","12","13","9","14","14","14"
,"10","15","12","15","15","12","16","11","10","12","11","14","12","13","10","14","13","13","9","11","10","12","14","16","8","13","14","13","10","14","14","11","11","16","12","13","9","14","14","14"
,"10","15","12","14","15","12","16","11","10","12","11","14","12","13","10","14","12","13","9","11","10","12","14","16","8","13","14","13","9","14","14","11","11","16","12","13","9","14","14","14"
,"10","15","12","14","15","12","16","11","10","12","11","14","12","13","10","14","11","13","9","11","10","12","14","16","8","13","13","13","8","13","13","11","11","16","12","12","9","14","14","14"
,"10","15","12","14","15","12","16","11","10","12","11","14","12","13","10","14","10","13","9","11","10","12","13","16","8","13","13","13","8","13","13","11","11","16","12","12","9","14","13","14"
,"10","15","12","14","15","12","16","11","10","12","11","14","12","13","10","14","10","13","9","11","10","12","13","16","8","13","13","13","8","13","13","11","11","16","12","12","9","14","13","14"
,"10","15","12","14","15","12","16","11","10","12","11","14","12","13","10","14","10","13","8","11","10","12","12","16","8","13","13","13","8","13","12","11","10","16","11","11","9","14","13","14"
,"10","15","12","14","15","12","16","11","10","11","11","14","12","13","10","14","10","13","8","11","10","12","12","16","8","13","13","13","8","13","12","11","10","16","11","11","9","14","13","13"
,"9","15","12","14","15","12","16","11","8","11","11","14","12","13","10","14","10","13","8","11","10","12","12","16","8","13","13","13","8","13","12","11","10","16","11","11","9","14","13","13"
,"8","15","12","14","15","12","15","11","8","11","11","14","12","13","10","14","10","13","7","11","10","12","12","16","8","13","13","13","8","13","12","11","10","16","11","11","9","14","13","13"
,"8","15","11","14","15","12","15","11","8","11","11","14","12","13","10","14","10","13","7","11","10","12","12","16","8","13","12","13","7","13","12","11","10","16","11","11","9","14","13","13"
,"8","15","11","14","15","12","15","11","8","11","10","14","12","13","10","14","10","13","7","11","10","12","12","16","8","13","11","13","7","12","12","11","10","16","11","11","9","14","13","13"
,"8","15","11","14","15","12","15","11","8","10","10","14","11","13","10","14","10","13","7","11","10","12","12","16","8","13","11","13","7","12","12","11","10","16","11","10","8","14","13","13"
,"8","15","11","14","15","12","15","11","8","9","10","14","11","13","10","14","9","13","7","11","9","12","12","16","8","13","11","13","7","12","12","11","10","16","11","10","8","13","13","12"
,"8","15","11","14","15","12","15","11","8","9","10","14","11","13","10","14","9","13","6","11","9","12","12","16","8","13","11","13","7","12","12","11","9","16","10","10","8","13","13","12"
