"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-min-energy-30-plus-camouflage-100"
"10/29/2022 00:51:27:048 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",,"30",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",,"100",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","4","0","1","0","5","1","4","0","4","0","4","0","2","0","3","0","3","0","3","0","3","0","1","0","2","1","0","0","1","0","3","0","7","0","5","0","5","0","5"
"[min]","0","4","0","1","0","5","1","4","0","4","0","4","0","2","0","3","0","3","0","3","0","3","0","1","0","2","1","0","0","1","0","3","0","7","0","5","0","5","0","5"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","2.103896103896104","6.72027972027972","1.2567432567432568","4.8551448551448555","1.6243756243756244","6.469530469530469","1.957042957042957","5.542457542457543","1.898101898101898","7.454545454545454","1.4965034965034965","8.852147852147851","2.5034965034965033","4.4355644355644355","1.4565434565434565","3.984015984015984","1.1818181818181819","4.457542457542457","1.196803196803197","6.908091908091908","1.6963036963036964","5.763236763236764","2.392699115044248","3.565265486725664","0.8471528471528471","4.000999000999001","2.008991008991009","4.701298701298701","1.2887112887112888","4.908091908091908","1.5684315684315684","5.041958041958042","1.3896103896103895","8.738261738261738","1.5944055944055944","7.276723276723277","1.3486513486513487","6.3666333666333665","1.4515484515484516","7.158841158841159"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","903","903","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","17","16","17","17","18","18","18","18","17","17","18","18","17","17","18","18","18","17","17","17","17","16","18","18","15","18","17","17","18","18","18","17","18","18","18"
,"17","18","17","18","18","17","16","17","17","18","18","17","18","17","16","18","18","16","17","18","18","17","17","17","17","16","16","18","17","15","18","17","17","17","18","17","17","18","17","18"
,"16","18","17","17","18","17","16","17","16","18","18","17","18","17","16","18","18","16","16","18","18","17","16","17","17","16","16","18","17","15","18","17","17","17","18","17","17","18","16","18"
,"16","18","17","17","18","16","16","17","15","18","18","17","18","17","15","17","18","15","16","18","18","16","14","17","17","16","16","18","17","15","18","17","16","17","17","17","16","18","16","18"
,"16","18","15","17","18","16","16","17","15","18","18","17","17","17","15","17","18","15","16","18","18","16","14","16","17","16","16","18","16","15","18","16","16","17","17","17","16","18","16","18"
,"16","18","15","17","18","16","16","16","15","18","18","16","17","17","15","17","18","15","16","18","18","16","14","16","16","16","16","17","16","15","18","16","16","17","17","17","16","17","16","17"
,"16","18","15","17","18","16","16","15","15","18","18","16","16","16","15","17","18","14","16","18","17","16","14","16","16","16","16","17","16","15","17","16","16","17","17","17","16","17","16","17"
,"16","18","15","17","18","16","16","15","14","18","18","16","16","16","15","17","17","14","16","18","17","15","14","16","16","16","14","16","16","15","16","16","15","17","16","17","16","17","16","15"
,"16","18","15","17","17","16","16","15","14","18","18","16","15","16","15","14","17","14","16","18","16","15","14","16","16","16","14","16","16","14","16","14","15","17","16","17","16","17","16","15"
,"16","18","15","16","17","16","15","14","13","18","18","16","15","16","15","14","17","14","16","18","16","15","14","15","13","15","14","16","16","14","16","14","14","17","15","17","16","16","15","15"
,"15","18","15","16","17","15","14","14","13","16","18","15","15","16","15","14","17","14","15","18","16","15","14","14","12","14","14","16","15","14","16","14","14","17","15","17","16","15","15","15"
,"15","18","14","15","17","14","14","14","13","15","18","15","15","16","15","14","17","13","15","18","16","15","14","14","12","14","14","16","15","14","16","14","14","16","15","17","16","15","14","15"
,"15","18","14","15","17","14","14","14","13","15","18","15","15","16","14","14","17","13","15","18","16","15","14","13","12","14","14","16","15","14","16","14","12","16","15","17","16","15","14","15"
,"15","18","14","15","17","13","12","14","13","15","18","15","15","15","14","14","17","13","15","17","16","15","13","13","11","14","13","15","15","13","16","14","11","16","15","17","16","15","14","15"
,"15","18","13","15","17","13","12","14","13","15","18","15","15","15","14","13","17","13","15","16","16","15","13","13","10","14","12","15","14","12","16","14","11","16","15","17","16","15","14","14"
,"15","18","13","15","17","13","12","14","13","15","18","15","15","15","13","12","17","13","15","16","16","15","13","13","10","14","12","15","14","12","15","14","10","16","15","17","16","15","14","12"
,"14","18","13","15","17","13","12","14","13","15","17","15","15","14","13","12","17","13","15","16","16","14","13","13","9","14","12","15","14","12","15","14","10","16","14","17","16","15","14","12"
,"14","18","13","15","17","13","11","14","13","15","16","15","15","14","13","10","17","13","15","16","15","14","13","13","9","14","11","15","14","12","15","14","10","16","14","17","15","15","14","12"
,"14","17","13","14","16","13","11","14","13","15","16","15","15","14","13","10","17","13","15","14","15","14","13","12","9","14","11","15","14","12","15","14","10","16","14","17","15","15","14","12"
,"14","17","13","14","16","13","11","13","12","15","16","15","15","14","13","10","17","13","15","14","15","14","13","12","9","14","11","15","14","12","15","14","10","16","14","17","15","15","13","12"
,"14","17","13","14","16","13","10","13","12","15","16","15","15","14","12","10","15","13","15","14","15","14","13","12","8","13","10","15","12","12","15","14","10","16","14","16","15","14","13","12"
,"13","17","13","14","16","13","10","13","12","14","15","15","15","14","12","10","15","12","14","14","15","12","13","12","8","12","10","14","12","12","15","14","10","16","14","15","15","14","13","12"
,"13","17","13","13","16","13","10","13","12","14","15","15","15","14","12","10","15","12","14","13","15","12","13","12","8","12","10","14","12","11","15","14","10","16","14","15","15","14","13","12"
,"13","17","12","13","16","13","10","13","12","14","15","15","15","14","12","10","14","12","13","13","15","12","13","12","8","12","10","14","12","11","15","14","10","16","14","15","15","14","13","12"
,"13","16","12","13","16","13","10","12","12","14","15","15","15","14","12","10","14","12","13","13","15","12","13","10","8","12","10","14","12","11","15","14","9","16","13","15","15","14","13","12"
,"13","16","12","13","16","13","10","12","11","14","15","15","15","14","12","10","13","12","13","13","15","12","13","10","8","12","10","14","11","11","15","14","9","16","13","15","15","14","13","12"
,"13","16","12","13","16","13","10","12","10","14","15","15","15","14","12","10","13","12","13","13","15","12","13","10","8","12","10","14","10","10","14","13","9","16","12","14","14","14","13","12"
,"13","16","12","13","16","13","10","12","10","14","15","15","15","14","12","10","13","12","13","13","15","12","13","10","7","12","10","14","9","10","14","13","9","16","12","14","14","14","13","12"
,"13","16","12","13","16","13","10","12","10","14","15","15","15","13","12","10","12","12","12","13","15","12","13","10","6","12","10","13","9","10","14","12","9","15","11","14","14","14","13","12"
,"13","16","12","13","16","13","10","12","10","14","15","15","15","13","12","10","12","11","12","13","14","12","12","10","6","12","9","13","9","10","14","12","9","15","11","14","14","14","13","12"
,"13","16","12","13","16","13","10","12","10","14","15","15","15","13","12","10","11","11","12","13","14","12","12","10","6","12","9","13","9","10","13","12","9","15","11","14","14","14","13","12"
,"13","16","12","13","16","13","10","12","10","14","15","14","15","12","12","10","11","11","12","13","14","12","12","10","6","12","9","13","9","10","12","12","9","14","11","14","13","14","13","12"
,"13","16","12","13","16","12","10","11","10","14","15","14","15","11","11","10","11","11","12","13","13","12","12","10","6","12","9","13","9","10","12","12","9","14","10","14","12","14","13","12"
,"12","16","12","13","16","12","10","11","10","14","15","14","15","11","10","10","11","11","12","13","13","12","12","10","6","12","9","13","9","10","12","12","9","14","10","14","12","14","13","12"
,"12","16","12","13","16","12","10","11","9","14","15","14","15","11","9","10","10","11","12","13","13","12","12","10","6","12","8","13","8","9","12","12","9","14","10","14","12","13","13","12"
,"12","15","12","13","16","12","10","11","9","14","14","14","15","11","9","10","10","11","12","13","13","11","12","10","6","12","8","13","8","9","11","11","9","14","10","14","12","13","13","12"
,"12","14","12","13","16","12","10","11","9","14","14","14","15","11","9","10","10","11","12","13","13","11","12","10","6","12","8","13","5","9","11","9","9","14","10","14","12","13","13","12"
,"12","14","12","13","16","12","10","11","9","14","14","14","15","11","8","10","10","11","12","13","13","11","12","10","6","12","8","13","5","9","9","9","9","14","10","14","12","13","13","12"
,"12","14","12","13","15","12","10","11","9","14","14","14","15","11","8","10","10","11","11","13","13","11","12","10","6","12","8","13","5","9","9","9","9","14","10","14","12","13","13","12"
,"12","14","12","13","15","12","10","11","9","14","14","14","15","11","8","10","10","11","11","13","13","11","12","10","6","12","8","13","5","9","9","9","9","14","10","14","12","13","13","12"
,"12","14","12","13","15","12","10","11","9","14","12","14","15","11","8","10","10","11","11","13","13","11","12","10","6","12","8","13","5","9","9","9","9","14","10","14","12","13","12","12"
,"12","14","12","13","15","12","9","11","9","14","12","13","15","11","8","10","9","11","11","13","13","11","12","10","6","12","8","13","5","9","9","9","9","14","9","13","12","13","12","12"
,"11","14","12","13","15","12","9","11","9","14","12","13","15","11","8","10","9","11","11","13","13","11","12","10","6","12","8","13","5","9","9","9","9","14","9","13","10","13","12","12"
,"11","14","12","13","15","11","9","11","9","14","12","12","15","11","8","10","9","11","11","12","13","11","12","10","6","12","8","13","5","9","9","9","9","14","9","13","10","13","12","12"
,"11","14","12","13","15","11","9","11","9","14","11","12","15","11","8","10","9","11","11","12","13","11","12","10","5","12","8","13","5","9","9","9","9","13","9","13","9","13","12","12"
,"11","14","12","13","15","11","9","11","9","14","11","12","15","10","8","10","9","11","11","12","13","11","12","10","5","12","8","13","5","9","9","9","9","13","9","13","9","13","12","12"
,"11","14","12","13","15","11","9","11","9","14","11","12","15","10","8","10","9","11","11","12","13","11","12","10","5","12","8","13","5","9","9","9","9","13","9","13","9","13","12","12"
,"11","14","12","13","15","11","9","11","8","14","10","12","15","9","8","10","9","11","10","12","13","11","11","10","5","12","8","13","5","9","9","9","9","13","9","13","9","13","10","12"
