"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-trap-percentage-0.0"
"10/29/2022 02:45:53:741 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","2","18","1","18","0","18","0","18","1","18","0","18","0","18","0","18","3","18","0","18","2","18","0","18","1","18","0","18","1","18","1","18","1","18","1","18","1","18","2","18"
"[min]","2","18","1","18","0","18","0","18","1","18","0","18","0","18","0","18","3","18","0","18","2","18","0","18","1","18","0","18","1","18","1","18","1","18","1","18","1","18","2","18"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","2.7202797202797204","18","2.13986013986014","18","1.4205794205794207","18","1.036963036963037","18","1.9350649350649352","18","1.144855144855145","18","1.803196803196803","18","1.9150849150849152","18","3.8241758241758244","18","1.1168831168831168","18","3.3316683316683315","18","1.803196803196803","18","1.858141858141858","18","1.1518481518481518","18","2.208791208791209","18","2.5164835164835164","18","2.4395604395604398","18","2.2277722277722276","18","2.3666333666333665","18","2.793206793206793","18"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","17","18","18","18","18","18","17","18","18","18","18","18","17","18","18","18","18","18","17","18","18","18","17","18","18","18","18","18","17","18","18","18","18","18","18","18"
,"18","18","18","18","15","18","18","18","16","18","17","18","18","18","18","18","16","18","17","18","18","18","16","18","18","18","17","18","18","18","17","18","16","18","17","18","17","18","18","18"
,"17","18","18","18","15","18","18","18","15","18","16","18","17","18","18","18","16","18","16","18","18","18","16","18","17","18","16","18","18","18","17","18","16","18","17","18","16","18","17","18"
,"16","18","17","18","15","18","18","18","15","18","16","18","17","18","18","18","15","18","15","18","16","18","16","18","17","18","15","18","18","18","16","18","16","18","17","18","15","18","16","18"
,"16","18","16","18","15","18","18","18","15","18","15","18","16","18","18","18","15","18","14","18","16","18","16","18","17","18","15","18","17","18","16","18","15","18","17","18","15","18","16","18"
,"16","18","15","18","15","18","17","18","14","18","15","18","16","18","18","18","15","18","13","18","16","18","16","18","16","18","15","18","17","18","16","18","14","18","17","18","15","18","16","18"
,"16","18","15","18","15","18","16","18","14","18","15","18","16","18","18","18","15","18","12","18","16","18","16","18","15","18","15","18","17","18","16","18","14","18","17","18","15","18","15","18"
,"16","18","15","18","15","18","16","18","14","18","15","18","15","18","18","18","15","18","12","18","16","18","16","18","15","18","15","18","17","18","16","18","14","18","16","18","15","18","15","18"
,"15","18","14","18","15","18","16","18","14","18","13","18","15","18","18","18","14","18","12","18","16","18","16","18","14","18","15","18","17","18","16","18","13","18","16","18","14","18","15","18"
,"14","18","14","18","15","18","16","18","14","18","13","18","15","18","18","18","14","18","12","18","15","18","16","18","12","18","15","18","17","18","16","18","13","18","16","18","14","18","15","18"
,"14","18","13","18","15","18","16","18","14","18","13","18","15","18","16","18","14","18","12","18","15","18","16","18","12","18","15","18","16","18","16","18","13","18","16","18","14","18","15","18"
,"13","18","13","18","15","18","16","18","13","18","13","18","14","18","16","18","14","18","12","18","15","18","16","18","12","18","14","18","16","18","16","18","13","18","16","18","14","18","14","18"
,"13","18","13","18","15","18","16","18","13","18","13","18","13","18","15","18","14","18","12","18","15","18","16","18","12","18","13","18","15","18","16","18","13","18","16","18","14","18","14","18"
,"12","18","13","18","15","18","16","18","13","18","13","18","13","18","15","18","14","18","11","18","15","18","16","18","12","18","12","18","15","18","16","18","13","18","16","18","14","18","14","18"
,"12","18","13","18","15","18","16","18","13","18","11","18","13","18","15","18","14","18","11","18","15","18","15","18","12","18","12","18","15","18","15","18","13","18","16","18","14","18","14","18"
,"12","18","12","18","15","18","14","18","13","18","11","18","13","18","15","18","13","18","11","18","15","18","15","18","12","18","12","18","14","18","15","18","13","18","16","18","14","18","14","18"
,"12","18","12","18","15","18","14","18","13","18","11","18","13","18","15","18","13","18","11","18","15","18","15","18","12","18","12","18","14","18","14","18","13","18","15","18","14","18","12","18"
,"12","18","12","18","15","18","14","18","13","18","11","18","13","18","15","18","12","18","11","18","15","18","15","18","12","18","12","18","14","18","13","18","13","18","15","18","14","18","12","18"
,"12","18","12","18","15","18","14","18","13","18","11","18","12","18","15","18","12","18","11","18","15","18","15","18","12","18","12","18","13","18","13","18","13","18","14","18","14","18","11","18"
,"12","18","12","18","15","18","14","18","13","18","10","18","12","18","15","18","12","18","11","18","15","18","15","18","12","18","12","18","13","18","13","18","13","18","13","18","14","18","11","18"
,"11","18","12","18","15","18","14","18","13","18","10","18","12","18","15","18","12","18","11","18","15","18","15","18","12","18","12","18","13","18","13","18","13","18","13","18","14","18","10","18"
,"11","18","11","18","15","18","14","18","13","18","9","18","12","18","15","18","12","18","11","18","14","18","15","18","12","18","12","18","13","18","12","18","13","18","13","18","13","18","9","18"
,"11","18","11","18","15","18","14","18","13","18","9","18","12","18","15","18","12","18","11","18","14","18","15","18","11","18","12","18","12","18","12","18","13","18","13","18","13","18","9","18"
,"11","18","11","18","15","18","14","18","13","18","9","18","12","18","14","18","11","18","11","18","14","18","15","18","10","18","12","18","12","18","12","18","12","18","13","18","13","18","9","18"
,"11","18","11","18","15","18","14","18","13","18","9","18","11","18","14","18","11","18","11","18","14","18","15","18","10","18","12","18","12","18","12","18","12","18","13","18","13","18","9","18"
,"11","18","11","18","15","18","14","18","13","18","9","18","11","18","14","18","11","18","11","18","14","18","14","18","10","18","11","18","12","18","12","18","12","18","13","18","12","18","9","18"
,"11","18","11","18","15","18","13","18","13","18","9","18","11","18","13","18","11","18","11","18","14","18","14","18","10","18","11","18","12","18","12","18","12","18","13","18","12","18","9","18"
,"11","18","11","18","15","18","13","18","13","18","8","18","11","18","13","18","11","18","11","18","14","18","14","18","10","18","11","18","12","18","12","18","12","18","13","18","12","18","9","18"
,"11","18","11","18","15","18","13","18","13","18","8","18","11","18","13","18","11","18","11","18","13","18","13","18","10","18","11","18","12","18","12","18","12","18","12","18","12","18","9","18"
,"11","18","11","18","14","18","13","18","13","18","8","18","11","18","13","18","11","18","11","18","13","18","13","18","10","18","10","18","12","18","11","18","12","18","12","18","11","18","9","18"
,"11","18","10","18","13","18","13","18","12","18","7","18","11","18","13","18","11","18","10","18","13","18","13","18","9","18","10","18","12","18","10","18","12","18","12","18","11","18","9","18"
,"11","18","10","18","13","18","13","18","12","18","7","18","11","18","13","18","11","18","10","18","13","18","13","18","9","18","10","18","12","18","10","18","12","18","12","18","11","18","9","18"
,"10","18","10","18","13","18","13","18","12","18","7","18","11","18","13","18","11","18","10","18","13","18","13","18","9","18","10","18","12","18","10","18","12","18","12","18","11","18","9","18"
,"10","18","10","18","13","18","13","18","12","18","6","18","10","18","13","18","10","18","10","18","12","18","13","18","9","18","10","18","12","18","10","18","12","18","12","18","11","18","9","18"
,"10","18","10","18","13","18","13","18","12","18","6","18","10","18","13","18","10","18","10","18","12","18","13","18","9","18","10","18","12","18","10","18","12","18","11","18","11","18","9","18"
,"10","18","10","18","13","18","13","18","12","18","6","18","10","18","13","18","9","18","10","18","12","18","13","18","9","18","10","18","12","18","10","18","12","18","11","18","11","18","8","18"
,"10","18","10","18","13","18","13","18","12","18","6","18","10","18","13","18","9","18","10","18","12","18","13","18","9","18","10","18","12","18","10","18","11","18","11","18","11","18","8","18"
,"10","18","10","18","12","18","13","18","12","18","6","18","10","18","12","18","9","18","10","18","12","18","12","18","9","18","10","18","11","18","10","18","11","18","11","18","11","18","7","18"
,"10","18","10","18","12","18","13","18","11","18","6","18","10","18","11","18","9","18","10","18","12","18","11","18","9","18","10","18","11","18","10","18","11","18","11","18","11","18","7","18"
,"10","18","10","18","12","18","12","18","11","18","6","18","10","18","11","18","9","18","10","18","12","18","11","18","9","18","10","18","11","18","10","18","10","18","11","18","11","18","7","18"
,"10","18","9","18","11","18","11","18","11","18","6","18","10","18","11","18","9","18","10","18","12","18","11","18","9","18","9","18","11","18","10","18","10","18","11","18","11","18","7","18"
,"10","18","9","18","11","18","11","18","11","18","6","18","10","18","11","18","9","18","10","18","12","18","11","18","7","18","9","18","11","18","10","18","10","18","11","18","10","18","7","18"
,"10","18","9","18","11","18","11","18","10","18","6","18","9","18","11","18","9","18","10","18","12","18","11","18","6","18","9","18","11","18","10","18","10","18","11","18","10","18","7","18"
,"10","18","9","18","10","18","11","18","10","18","6","18","9","18","11","18","9","18","10","18","12","18","11","18","6","18","9","18","11","18","10","18","10","18","11","18","10","18","7","18"
,"10","18","7","18","10","18","11","18","10","18","6","18","9","18","11","18","9","18","10","18","12","18","11","18","6","18","9","18","11","18","10","18","10","18","11","18","10","18","7","18"
,"10","18","7","18","10","18","11","18","10","18","6","18","9","18","10","18","9","18","10","18","11","18","11","18","6","18","9","18","11","18","10","18","10","18","11","18","10","18","7","18"
,"10","18","7","18","10","18","11","18","10","18","6","18","9","18","10","18","9","18","9","18","11","18","11","18","6","18","8","18","11","18","10","18","10","18","11","18","10","18","7","18"
,"10","18","7","18","10","18","11","18","10","18","6","18","8","18","9","18","9","18","9","18","11","18","11","18","6","18","8","18","11","18","10","18","10","18","10","18","10","18","7","18"
,"9","18","7","18","10","18","11","18","9","18","6","18","8","18","9","18","9","18","9","18","11","18","11","18","6","18","8","18","11","18","10","18","9","18","10","18","10","18","7","18"
,"9","18","7","18","10","18","11","18","9","18","6","18","8","18","9","18","9","18","9","18","11","18","11","18","6","18","8","18","11","18","10","18","9","18","10","18","10","18","7","18"
,"9","18","7","18","9","18","10","18","9","18","6","18","8","18","9","18","8","18","9","18","11","18","11","18","6","18","8","18","11","18","10","18","9","18","10","18","10","18","6","18"
