"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-yellow-food-0"
"10/30/2022 17:14:27:310 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","2","0","2","0","6","0","4","0","3","0","3","0","3","0","2","0","2","0","4","0","2","0","2","0","1","0","1","0","3","0","3","0","4","0","3","0","2","0","2"
"[min]","0","2","0","2","0","6","0","4","0","3","0","3","0","3","0","2","0","2","0","4","0","2","0","2","0","1","0","1","0","3","0","3","0","4","0","3","0","2","0","2"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","0.8081918081918081","4.815184815184815","0.6713286713286714","2.9280719280719283","0.4125874125874126","8.121878121878122","0.35564435564435565","5.5994005994005995","0.6703296703296703","6.302697302697303","0.3996003996003996","7.011988011988012","0.3166833166833167","5.204795204795205","0.6473526473526473","4.321678321678322","0.5584415584415584","4.126873126873127","0.7692307692307693","6.011988011988012","0.3006993006993007","6.477522477522477","0.7902097902097902","4.391608391608392","0.7442557442557443","2.911088911088911","0.5704295704295704","3.2647352647352648","0.5694305694305695","6.1208791208791204","0.8481518481518482","6.257742257742258","0.6763236763236763","6.967032967032967","0.7102897102897103","6.638361638361638","0.8781218781218781","3.4495504495504496","0.5684315684315684","5.118881118881119"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"17","18","18","18","17","18","18","18","18","18","18","18","17","18","17","18","18","18","18","18","18","18","18","18","17","18","17","18","17","18","18","18","18","18","18","18","18","18","18","18"
,"16","18","18","17","14","18","17","18","18","18","16","18","17","18","17","17","16","18","17","17","14","18","17","18","16","16","16","16","17","17","18","18","18","15","17","17","18","18","17","17"
,"16","18","18","17","14","18","16","18","18","18","15","18","17","18","16","17","16","17","16","16","13","18","16","17","16","15","15","15","17","17","18","18","16","14","17","15","17","18","16","17"
,"16","17","18","16","13","18","15","18","18","18","15","18","15","18","16","16","14","17","15","16","13","18","16","16","15","15","14","15","17","17","18","17","16","14","16","15","16","18","15","16"
,"16","16","18","16","12","18","13","18","16","16","15","18","15","18","16","16","13","17","15","16","13","18","16","16","15","15","14","15","17","17","16","17","15","14","15","15","16","18","14","16"
,"16","16","17","16","11","17","12","18","16","16","12","18","13","18","16","16","13","17","15","15","12","18","15","16","15","14","13","15","16","16","16","17","15","14","14","15","16","18","13","16"
,"16","16","17","14","10","17","12","18","16","16","10","18","13","18","15","15","13","17","15","15","10","18","15","16","15","13","13","15","15","15","16","17","14","14","13","15","16","16","13","15"
,"16","15","16","13","9","17","12","17","16","16","10","18","13","18","14","15","13","17","15","15","9","18","15","16","15","13","12","15","13","15","16","17","13","14","13","15","16","16","13","15"
,"15","15","16","13","9","17","11","17","16","16","10","18","12","18","14","15","13","17","14","14","9","18","14","16","15","13","11","15","13","15","16","17","13","14","12","15","15","15","13","15"
,"15","14","15","13","9","16","9","17","16","16","9","18","10","18","14","15","13","17","14","14","9","18","14","16","14","13","10","15","12","15","16","17","13","14","12","15","15","15","13","15"
,"14","13","15","13","8","16","8","17","15","16","9","18","10","18","14","15","13","17","13","14","9","18","13","16","14","12","9","15","11","15","15","17","13","14","11","15","15","15","13","15"
,"14","12","15","13","7","16","8","17","14","16","8","17","10","18","14","14","13","16","13","14","9","18","12","15","14","12","9","15","11","15","15","17","12","12","11","14","15","14","13","15"
,"14","12","14","13","6","15","8","17","14","16","8","17","10","18","14","14","13","15","13","13","9","18","10","15","13","12","8","14","11","15","15","17","12","12","11","14","15","14","13","15"
,"14","12","13","12","6","15","7","17","13","16","7","17","9","18","13","14","13","14","13","13","9","18","10","15","13","12","8","14","10","15","14","17","12","12","10","14","15","14","13","14"
,"14","12","13","11","6","15","7","17","13","16","7","17","8","17","13","14","13","14","13","13","8","18","9","15","13","12","7","12","9","15","14","17","12","12","10","14","15","14","12","14"
,"14","12","13","11","6","15","7","17","13","16","7","17","7","17","12","14","12","12","12","13","7","18","9","14","13","12","7","12","8","15","14","17","12","12","9","14","15","14","12","14"
,"14","12","12","11","5","15","7","17","13","16","7","17","6","17","12","14","12","12","12","13","7","18","9","14","13","12","7","12","8","15","14","17","11","12","9","14","15","14","12","14"
,"14","12","11","11","5","15","7","16","12","16","7","17","6","17","10","14","9","12","12","13","6","18","9","14","13","12","7","12","8","15","14","16","10","12","9","14","15","13","12","14"
,"13","12","11","11","5","15","7","16","12","16","7","17","6","17","10","14","9","12","12","13","6","18","9","14","13","11","7","12","8","15","13","16","10","12","8","14","13","13","12","14"
,"12","12","11","10","4","15","7","16","12","16","7","17","5","17","10","14","9","12","12","13","5","17","9","14","12","11","7","12","7","15","13","16","10","12","8","14","13","13","11","14"
,"11","12","11","10","4","15","7","16","11","16","7","17","5","17","10","14","9","12","12","13","5","17","9","14","11","10","7","12","6","15","13","16","10","12","8","14","12","13","10","14"
,"11","12","11","9","4","15","7","16","11","16","7","17","5","17","10","14","8","12","12","13","5","17","8","14","11","10","7","12","6","15","13","16","10","12","8","14","12","13","10","14"
,"9","12","11","9","4","15","7","16","11","16","6","17","4","17","10","14","8","11","12","13","5","17","8","14","10","10","7","12","6","15","13","15","10","12","7","14","10","13","10","14"
,"9","12","11","9","4","15","7","16","11","16","6","17","4","17","9","14","8","11","12","13","5","17","8","14","9","10","7","11","6","15","13","15","9","12","7","14","10","13","10","14"
,"9","12","11","9","4","14","6","16","11","16","6","17","4","16","9","13","7","11","12","13","5","17","7","14","8","10","7","11","6","15","13","14","9","12","7","14","10","12","10","14"
