"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-plus-basic-agent-50"
"10/29/2022 00:41:40:883 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","3","0","4","0","4","0","1","0","4","0","2","0","2","0","4","0","1","1","0","1","4","0","3","0","3","0","2","1","4","0","4","0","6","0","2","0","4","0","3"
"[min]","0","3","0","4","0","4","0","1","0","4","0","2","0","2","0","4","0","1","1","0","1","4","0","3","0","3","0","2","1","4","0","4","0","6","0","2","0","4","0","3"
"[max]","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18"
"[mean]","2.694305694305694","5.986013986013986","2.6513486513486515","6.924075924075924","1.7952047952047951","8.325674325674326","2.6373626373626373","3.773226773226773","2.111888111888112","6.484515484515485","3.885114885114885","7.941058941058941","1.975024975024975","6.036963036963037","2.3346653346653348","10.31868131868132","3.5614385614385613","5.061938061938062","3.8107734806629834","5.459944751381215","3.878121878121878","7.005994005994006","3.340659340659341","5.953046953046953","2.757242757242757","5.57942057942058","3.5224775224775224","5.30969030969031","3.6153846153846154","6.478521478521478","1.7872127872127872","6.173826173826174","2.6673326673326674","9.473526473526473","2.2617382617382615","4.603396603396604","2.6003996003996006","7.520479520479521","1.5834165834165834","5.581418581418581"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","723","723","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18"
,"48","18","48","18","49","18","48","18","48","18","50","18","49","18","49","18","48","18","49","18","48","18","50","18","48","18","50","18","50","18","49","18","48","18","47","18","50","18","46","18"
,"46","17","46","18","46","18","47","17","45","18","46","18","48","17","46","17","45","17","48","16","47","17","49","18","48","18","49","18","49","18","48","18","48","17","46","17","46","16","45","18"
,"45","15","45","18","41","17","46","17","45","18","44","18","45","17","45","17","41","17","46","16","46","17","48","18","47","18","48","18","47","18","46","18","46","17","44","17","43","16","43","17"
,"42","15","45","18","40","17","44","17","43","18","43","18","44","17","44","17","41","17","43","16","44","17","48","18","43","16","46","17","44","18","45","18","45","17","44","17","41","16","41","17"
,"41","15","45","18","39","17","42","17","42","18","43","18","44","16","43","17","40","17","40","16","40","17","43","18","43","16","46","17","43","17","43","18","44","17","43","17","41","16","38","16"
,"40","15","42","18","38","17","42","17","41","18","42","18","42","16","42","16","39","17","38","16","40","17","42","18","42","16","46","17","43","17","40","18","44","17","43","17","40","16","38","16"
,"38","15","42","18","37","17","41","17","40","18","41","18","41","16","42","16","39","17","34","16","40","17","40","17","41","16","45","17","41","17","39","18","43","17","43","17","39","16","38","16"
,"37","14","41","16","36","17","39","17","39","17","39","17","40","15","39","16","37","16","33","16","39","17","40","17","40","16","45","17","40","17","37","18","40","17","41","17","37","16","37","16"
,"37","14","37","16","36","17","38","16","39","17","38","17","38","15","39","16","37","15","32","16","39","16","40","17","37","16","44","17","38","16","37","18","39","17","39","17","36","16","37","16"
,"37","13","36","16","35","17","36","16","37","17","35","17","35","15","38","16","36","15","31","16","39","16","39","17","37","16","44","17","37","15","37","18","37","17","37","17","35","16","37","16"
,"36","13","36","16","34","17","35","16","35","17","34","17","34","13","37","16","33","15","30","16","38","15","38","17","36","16","43","17","36","15","36","18","36","17","36","17","34","16","36","16"
,"36","13","36","16","32","17","33","15","35","17","32","17","33","13","36","16","30","14","30","16","36","15","37","16","36","15","42","17","35","15","34","18","36","16","36","17","32","15","35","16"
,"36","13","36","16","31","17","33","15","35","17","32","17","32","13","35","16","30","14","29","15","35","15","37","14","36","15","41","17","34","15","32","18","35","16","33","17","30","15","33","16"
,"36","13","36","16","29","16","33","15","34","17","31","17","32","13","33","16","30","14","28","14","34","15","36","14","36","15","40","17","33","14","32","18","35","16","31","17","28","15","33","16"
,"35","12","36","16","29","16","32","15","34","17","31","17","30","12","33","16","29","14","28","14","33","14","36","14","33","15","39","17","33","14","31","18","34","16","30","17","28","15","32","16"
,"35","12","36","16","29","16","31","15","32","17","31","17","30","12","33","16","29","13","28","14","33","14","36","14","32","15","37","16","33","14","31","18","34","16","28","17","28","15","30","16"
,"34","12","36","16","27","15","29","15","32","17","30","17","29","12","32","16","29","13","28","14","33","14","36","14","32","15","36","16","33","14","29","18","34","16","28","17","28","15","29","16"
,"34","12","34","16","27","15","28","15","28","17","29","17","29","12","30","16","28","13","28","14","33","14","36","14","32","15","36","16","33","14","28","18","32","16","28","17","28","15","29","16"
,"34","12","33","16","27","15","28","15","27","17","28","17","28","12","30","16","28","13","27","14","30","14","34","14","31","15","36","15","33","14","27","18","32","16","28","17","28","15","28","16"
,"33","12","33","16","26","15","28","15","26","17","28","16","28","12","30","16","28","13","27","14","30","14","34","14","31","15","35","15","32","14","27","17","31","16","26","17","27","15","27","15"
,"32","12","33","16","25","15","28","15","26","17","28","16","27","12","30","16","27","13","27","14","30","14","34","14","31","15","34","15","31","14","27","17","30","16","26","17","27","15","27","14"
,"30","12","33","16","24","15","27","15","26","17","28","16","26","12","28","16","27","13","25","14","30","14","31","14","30","14","34","15","29","14","27","17","30","16","26","16","26","15","24","14"
,"29","12","31","16","24","15","26","15","26","17","28","16","26","12","28","16","27","13","25","14","29","14","31","14","30","14","33","15","27","14","25","17","29","16","26","15","25","15","23","14"
,"29","12","30","16","24","15","25","14","26","17","28","16","25","12","27","16","27","13","25","14","28","14","31","14","29","14","32","15","27","14","24","17","29","16","24","15","24","15","23","14"
,"29","12","27","16","23","15","25","14","25","17","28","16","25","12","26","16","27","13","24","14","28","14","31","14","29","14","30","15","26","14","23","17","28","16","24","15","22","15","23","14"
,"28","12","26","16","23","15","25","14","25","17","28","16","24","12","26","16","25","13","23","14","27","14","31","14","29","14","30","15","26","14","23","17","28","16","23","15","22","15","22","14"
,"28","12","26","16","23","15","23","14","23","17","28","16","22","10","26","16","25","13","23","14","27","14","31","14","28","14","28","15","26","14","22","17","28","16","23","14","22","15","22","14"
,"26","12","24","16","23","15","22","14","22","16","27","16","21","10","25","16","25","13","22","14","26","14","30","14","28","14","27","15","26","14","21","17","28","16","21","14","22","15","22","14"
,"26","12","22","16","23","15","22","14","20","16","26","16","21","10","24","16","25","13","21","14","26","14","30","14","27","14","27","14","26","14","21","17","28","16","21","14","22","15","22","14"
,"24","12","21","16","23","15","20","14","20","16","26","15","21","10","24","16","25","13","21","14","26","14","30","14","25","14","27","14","26","14","20","17","27","16","21","14","22","15","21","14"
,"23","12","19","16","23","15","20","14","20","16","25","15","21","10","24","16","24","13","20","14","26","14","29","14","25","14","27","14","24","14","20","17","27","16","21","14","22","15","21","14"
,"23","12","18","16","22","15","18","14","20","16","23","15","21","10","23","16","23","13","20","14","26","14","29","14","23","14","27","14","24","14","20","17","24","16","21","14","22","14","18","14"
,"23","12","17","15","21","15","18","14","20","16","21","15","20","10","23","16","22","13","19","14","24","14","28","14","23","14","26","14","24","14","20","17","24","16","21","14","22","14","18","13"
,"22","12","17","15","21","15","17","14","20","16","21","15","20","10","22","16","20","13","18","14","23","14","28","14","23","14","26","14","24","14","18","17","24","16","21","14","21","14","17","13"
,"22","12","17","15","19","15","16","14","20","15","21","15","19","10","22","16","20","13","17","13","23","14","26","13","23","14","25","14","24","14","17","17","24","16","18","14","20","14","17","13"
,"22","12","17","15","18","15","15","14","20","15","21","15","19","10","21","16","20","13","16","13","21","14","26","13","23","14","24","14","24","13","17","16","23","16","17","14","18","14","16","13"
,"22","12","17","15","17","15","15","14","19","15","21","15","16","10","20","16","20","13","16","13","21","14","26","13","21","14","23","14","24","13","17","16","22","16","17","14","17","14","15","13"
,"21","12","17","15","16","15","15","13","18","15","20","15","16","10","20","16","20","13","15","13","20","14","26","13","21","14","21","14","23","13","17","16","22","16","17","14","17","14","15","13"
,"21","12","15","15","16","15","15","13","18","15","20","15","15","10","19","16","20","13","15","13","20","14","26","12","21","14","21","14","21","13","17","16","21","15","16","14","17","14","14","13"
,"21","12","14","15","16","15","15","13","18","15","20","15","15","10","18","16","19","13","14","13","20","14","26","12","21","14","21","14","21","13","17","16","21","15","16","14","17","14","12","13"
,"21","12","14","15","16","15","15","13","18","15","20","15","15","10","18","16","19","13","14","13","20","14","25","11","20","14","21","14","21","12","17","16","20","14","16","14","17","14","12","13"
,"21","12","14","15","16","13","15","13","18","15","19","15","15","10","16","16","19","13","14","13","20","14","25","11","19","14","20","14","20","12","16","16","20","14","16","14","16","14","12","13"
,"20","12","14","15","16","13","15","13","18","15","19","15","15","10","16","16","19","13","13","13","19","14","23","11","18","14","18","14","20","12","16","16","20","14","16","14","16","13","12","13"
,"19","12","14","15","15","13","15","13","18","15","19","15","15","10","16","16","19","13","13","13","19","14","23","10","18","13","18","14","19","12","16","16","19","14","14","14","16","13","11","13"
,"19","12","14","15","15","13","15","13","17","15","18","15","15","10","16","16","19","13","13","13","19","14","23","9","18","13","18","14","19","12","14","16","19","14","14","14","16","13","11","13"
,"18","12","14","15","15","13","15","13","16","15","18","15","13","10","15","16","19","13","13","13","17","14","23","9","18","13","18","14","18","12","14","16","19","14","14","13","15","13","11","13"
,"18","12","14","15","15","13","15","13","16","15","18","15","13","10","15","16","19","13","13","13","17","14","23","9","18","13","18","14","18","12","14","16","19","14","14","13","15","13","11","13"
,"18","12","14","15","15","13","14","13","16","15","18","14","13","10","15","16","18","13","13","13","16","14","23","9","18","12","18","14","18","12","14","16","19","14","14","13","14","13","11","13"
,"18","12","13","15","14","13","14","13","16","15","18","14","12","10","15","16","18","13","13","13","15","14","23","9","17","11","18","13","18","12","14","16","18","14","14","13","14","13","11","13"
,"18","12","12","15","14","12","14","13","16","15","17","14","12","10","15","16","16","13","12","13","14","14","23","9","16","11","18","13","18","12","13","16","18","14","14","13","13","13","11","13"
