"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-plus-basic-min-energy-300"
"10/29/2022 00:43:55:603 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",,"300",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","2","0","4","0","2","0","4","0","3","0","8","0","3","0","4","0","8","0","4","0","2","0","5","0","3","0","5","0","4","0","1","0","4","0","3","0","3","0","3"
"[min]","0","2","0","4","0","2","0","4","0","3","0","8","0","3","0","4","0","8","0","4","0","2","0","5","0","3","0","5","0","4","0","1","0","4","0","3","0","3","0","3"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","0.9300699300699301","3.89010989010989","0.6383616383616384","5.869130869130869","0.7402597402597403","4.779220779220779","0.7552447552447552","6.174825174825175","0.28471528471528473","4.688311688311688","0.99000999000999","10.316683316683317","0.7292707292707292","6.682317682317683","0.7842157842157842","7.742257742257742","0.7722277722277723","10.153846153846153","0.48451548451548454","7.075924075924076","0.7762237762237763","5.35064935064935","0.3726273726273726","6.975024975024975","0.5114885114885115","6.2027972027972025","0.4805194805194805","6.653346653346653","0.5574425574425574","6.5004995004995","0.5024975024975025","3.7952047952047954","0.5324675324675324","5.9000999000999","0.6593406593406593","4.549450549450549","0.6463536463536463","5.314685314685315","0.7932067932067932","5.76023976023976"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","16","18","18","18","17","18","17","18","17","18","18","18","18","18","18","18","18","18","18","18","18","18","17","18","18","18","18","18","18","18","18","18","17","18","18","18","18","18"
,"18","18","14","18","18","17","16","17","17","18","15","18","16","17","18","18","18","18","18","18","17","18","16","18","16","18","17","18","17","17","17","18","17","17","17","18","17","18","16","16"
,"17","18","14","18","18","17","16","16","15","18","14","18","16","16","17","18","18","18","18","17","15","18","16","18","14","18","16","17","17","17","16","18","16","17","16","18","17","18","16","16"
,"17","18","14","18","18","17","15","16","13","17","14","18","16","16","16","18","18","18","18","17","14","17","15","18","14","18","15","17","17","17","15","18","16","17","15","18","15","18","16","16"
,"15","18","14","18","18","17","14","16","13","17","14","18","16","16","16","18","17","18","18","17","14","17","15","18","14","18","14","17","16","17","14","18","15","16","15","18","15","18","15","16"
,"15","18","12","18","18","16","13","16","13","17","14","18","14","16","16","17","15","18","17","17","13","17","15","18","14","18","14","17","16","17","13","18","15","16","13","17","15","18","15","16"
,"15","18","12","18","17","15","13","16","10","17","14","18","14","16","15","17","15","18","17","17","13","16","14","18","14","18","14","17","15","17","12","18","14","16","13","16","14","18","15","15"
,"15","18","11","17","16","15","13","16","9","17","14","18","13","16","15","17","14","17","16","17","13","16","13","18","14","18","14","16","14","17","12","18","14","16","12","16","14","18","15","15"
,"15","18","11","17","15","15","13","16","8","17","14","18","13","15","14","17","14","17","16","17","13","16","11","18","13","18","14","16","13","17","11","18","13","16","12","16","14","17","15","15"
,"15","17","10","17","15","15","13","15","8","17","14","18","12","15","14","17","14","17","15","17","13","16","10","17","13","16","14","16","13","17","11","18","12","16","12","16","14","17","14","15"
,"14","17","10","17","15","15","12","15","8","16","14","18","12","15","13","16","13","16","15","17","13","15","10","17","13","16","13","16","11","17","11","16","12","14","12","16","14","17","13","15"
,"14","16","9","17","13","15","11","15","8","16","14","18","11","15","13","16","13","16","15","17","13","15","10","17","13","15","13","16","10","17","11","16","12","14","11","16","14","16","12","14"
,"12","16","9","17","13","15","11","15","7","16","14","18","11","15","12","16","12","16","14","17","13","15","10","17","13","15","13","16","9","17","10","16","11","14","10","16","14","16","11","14"
,"12","16","9","17","12","15","10","15","7","15","14","18","9","15","11","16","12","16","14","17","13","15","10","17","13","14","13","16","9","17","10","16","11","14","9","15","14","16","10","14"
,"12","16","9","17","11","15","10","15","7","15","14","18","9","15","10","14","12","16","14","17","13","15","10","17","13","13","12","16","9","17","10","16","10","14","8","15","14","16","10","14"
,"12","16","9","17","11","14","10","15","7","15","14","18","9","15","10","14","12","15","14","17","13","14","10","17","13","13","12","16","9","17","10","15","10","14","8","15","14","16","10","14"
,"12","16","9","16","11","14","10","15","7","15","14","18","8","15","10","14","12","15","12","17","13","13","10","17","13","13","11","16","9","17","10","15","10","14","8","15","13","16","10","14"
,"12","16","8","16","10","14","10","15","7","15","14","18","8","15","10","14","12","15","12","17","13","13","9","17","13","13","10","14","9","17","10","15","10","14","7","15","13","16","10","14"
,"12","16","8","16","10","14","9","15","5","15","14","18","7","15","9","14","12","15","12","17","13","11","7","17","11","13","9","14","9","17","10","14","10","14","7","15","13","16","10","14"
,"12","16","8","16","10","14","9","15","5","14","14","17","7","15","9","14","11","15","12","17","13","11","7","17","10","13","9","14","9","16","10","14","10","14","7","15","13","16","10","14"
,"12","16","8","16","10","14","9","15","5","14","14","16","7","15","9","14","11","15","12","17","13","11","6","17","8","13","8","14","9","16","10","14","10","14","7","15","12","16","9","14"
,"12","13","8","16","10","14","9","15","5","14","14","16","7","15","9","14","11","15","11","17","13","11","6","17","8","13","8","14","9","16","10","14","9","14","6","15","12","16","9","14"
,"11","13","8","16","10","14","9","15","5","14","14","16","7","15","9","14","10","15","11","17","13","11","5","17","7","13","7","14","8","16","8","14","9","13","6","14","11","16","9","14"
,"11","13","8","16","10","14","9","15","4","14","14","16","7","15","9","14","10","15","9","17","13","11","5","17","7","13","7","14","8","16","8","14","9","13","6","14","10","16","9","14"
,"11","12","8","16","9","14","9","15","3","14","13","16","6","15","9","14","10","15","9","17","11","11","5","17","7","12","7","14","8","16","8","14","7","13","6","14","9","16","9","14"
,"11","12","8","16","9","14","8","15","3","14","12","16","5","15","9","14","10","15","8","17","11","11","5","17","7","12","6","14","8","16","7","14","7","13","6","14","8","16","9","14"
,"11","12","8","16","8","14","8","15","3","14","12","16","5","15","8","14","10","15","8","16","11","11","4","17","7","12","6","14","8","16","6","14","7","13","6","14","7","16","8","14"
,"10","12","8","16","8","14","8","15","3","14","12","16","5","15","8","14","9","15","8","16","11","11","4","17","7","12","6","14","8","16","6","14","7","13","6","14","7","16","8","14"
,"9","12","7","16","8","13","8","15","2","14","12","16","5","15","7","14","9","15","8","16","11","11","3","17","7","11","6","14","8","16","6","14","6","13","6","14","6","16","8","14"
,"9","12","7","16","8","13","8","14","2","14","11","15","5","15","7","14","8","15","7","16","9","11","3","17","7","11","6","14","8","16","6","14","6","12","5","14","6","16","8","14"
,"9","12","7","15","8","13","8","14","2","14","11","15","5","15","7","14","7","15","7","16","9","11","3","17","7","11","6","14","8","16","6","14","5","12","5","14","6","16","8","14"
,"9","12","7","15","8","13","8","14","2","14","11","15","5","15","7","14","7","15","7","16","9","11","3","17","7","11","5","14","7","15","6","14","5","12","5","14","6","16","8","14"
,"9","12","7","15","8","13","8","14","2","14","11","15","5","15","6","14","7","15","7","16","9","11","3","17","6","11","5","14","7","15","5","14","5","12","4","13","6","15","8","14"
,"9","12","7","15","8","13","8","14","2","14","11","15","5","15","6","14","7","15","6","16","9","11","3","17","6","11","5","14","7","15","5","14","5","12","4","13","6","15","8","14"
,"9","12","7","13","8","13","7","13","2","14","11","15","5","15","6","14","5","15","6","16","9","11","3","17","6","11","5","14","7","15","5","14","5","12","4","13","6","15","7","14"
,"9","12","7","13","8","13","7","13","2","14","11","15","5","15","5","14","5","15","4","16","9","11","3","17","5","11","5","14","7","15","5","14","5","12","4","13","6","15","7","14"
,"9","12","7","13","8","13","7","13","2","14","11","15","5","15","5","14","5","15","4","16","9","11","3","17","5","11","5","14","7","15","5","14","5","12","4","13","6","15","7","14"
,"9","12","7","13","8","13","7","13","2","14","11","15","5","15","5","14","5","15","4","16","9","11","3","17","5","11","5","14","7","15","4","14","5","12","4","13","6","15","7","14"
,"9","12","7","13","8","13","7","13","2","14","11","15","5","15","4","14","5","15","4","16","9","11","3","17","5","11","5","14","7","15","4","14","5","12","4","12","6","15","7","14"
,"8","12","7","13","8","13","7","13","2","14","10","15","5","15","4","14","5","15","4","16","9","11","3","17","5","11","5","14","7","15","4","14","5","12","4","12","6","15","7","14"
,"8","12","7","13","8","13","6","13","2","14","10","15","5","15","4","14","5","15","4","16","9","11","3","17","5","11","5","14","7","15","4","14","4","12","3","11","6","14","7","14"
,"8","12","7","13","7","13","6","13","1","14","10","15","5","15","4","14","5","15","3","16","7","11","3","17","5","11","5","14","7","15","4","14","4","12","3","10","5","13","6","14"
,"7","11","7","13","7","13","6","13","1","14","10","15","5","15","4","14","5","15","3","16","7","11","3","17","5","11","4","14","7","15","3","14","4","12","3","10","5","13","6","14"
,"7","11","6","13","7","13","6","13","1","14","10","15","5","15","4","14","5","15","2","16","7","11","3","17","5","11","4","14","7","15","3","14","4","12","3","10","5","13","6","14"
,"7","11","6","13","7","12","6","13","1","14","10","15","5","15","3","14","5","15","2","16","7","11","3","17","5","11","4","14","7","15","3","13","3","12","3","10","5","13","6","14"
,"7","11","6","13","7","12","6","13","1","14","10","15","5","15","3","14","5","14","1","16","7","11","2","17","4","11","4","14","7","15","3","13","3","12","3","10","5","13","6","14"
,"7","11","5","13","7","12","6","13","1","14","8","15","5","15","3","14","5","14","1","16","7","11","2","17","4","11","4","14","7","15","3","13","3","12","3","10","5","13","6","13"
,"7","11","5","13","7","12","6","13","1","14","7","15","5","15","3","14","5","14","1","16","7","11","2","17","4","11","4","14","6","15","3","13","2","12","3","10","5","13","6","13"
,"7","11","5","13","7","12","6","13","1","14","7","15","5","15","3","14","5","14","1","16","7","11","2","17","4","11","3","14","6","15","3","13","2","12","3","10","5","12","6","13"
