"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-plus-expert"
"10/30/2022 16:37:22:950 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","50","0","50","0","50","0","50","0","50","0","50","0","50","0","50","1","50","0","50","0","50","0","50","0","50","0","50","0","50","0","50","1","50","0","50","0","50","1","50"
"[min]","0","50","0","50","0","50","0","50","0","50","0","50","0","50","0","50","1","50","0","50","0","50","0","50","0","50","0","50","0","50","0","50","1","50","0","50","0","50","1","50"
"[max]","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50"
"[mean]","0.32667332667332666","50","0.3776223776223776","50","0.45454545454545453","50","0.5114885114885115","50","0.5174825174825175","50","0.4195804195804196","50","0.4745254745254745","50","1.4055944055944056","50","1.2157842157842158","50","0.5864135864135864","50","0.22277722277722278","50","0.40559440559440557","50","0.6033966033966034","50","0.45454545454545453","50","0.5154845154845155","50","0.8571428571428571","50","1.7772227772227773","50","0.43156843156843155","50","0.45054945054945056","50","2.1178821178821177","50"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50","18","50"
,"17","50","17","50","17","50","16","50","18","50","17","50","17","50","18","50","17","50","16","50","15","50","18","50","17","50","18","50","18","50","16","50","18","50","16","50","17","50","17","50"
,"17","50","15","50","17","50","16","50","17","50","16","50","16","50","17","50","17","50","13","50","13","50","14","50","16","50","18","50","17","50","15","50","17","50","16","50","16","50","16","50"
,"16","50","15","50","16","50","15","50","15","50","15","50","16","50","17","50","17","50","13","50","13","50","14","50","14","50","17","50","16","50","15","50","15","50","16","50","15","50","16","50"
,"16","50","14","50","15","50","14","50","14","50","13","50","16","50","17","50","17","50","11","50","13","50","12","50","14","50","17","50","16","50","15","50","15","50","14","50","15","50","14","50"
,"13","50","13","50","15","50","13","50","12","50","13","50","16","50","17","50","15","50","11","50","13","50","12","50","13","50","17","50","16","50","15","50","15","50","14","50","14","50","14","50"
,"12","50","11","50","14","50","13","50","12","50","13","50","16","50","17","50","15","50","11","50","11","50","11","50","12","50","16","50","16","50","15","50","15","50","13","50","14","50","13","50"
,"11","50","11","50","14","50","13","50","12","50","13","50","16","50","15","50","13","50","11","50","10","50","11","50","12","50","16","50","13","50","15","50","15","50","12","50","14","50","12","50"
,"11","50","10","50","12","50","13","50","12","50","13","50","15","50","14","50","12","50","10","50","9","50","11","50","12","50","15","50","11","50","14","50","13","50","10","50","14","50","12","50"
,"11","50","9","50","12","50","13","50","11","50","12","50","15","50","12","50","11","50","10","50","8","50","11","50","12","50","15","50","11","50","12","50","13","50","10","50","13","50","12","50"
,"10","50","7","50","11","50","13","50","11","50","11","50","15","50","12","50","10","50","10","50","7","50","11","50","11","50","14","50","11","50","11","50","12","50","10","50","11","50","11","50"
,"9","50","7","50","11","50","13","50","11","50","11","50","15","50","12","50","8","50","9","50","7","50","10","50","11","50","13","50","10","50","10","50","12","50","10","50","11","50","11","50"
,"9","50","7","50","11","50","13","50","11","50","11","50","15","50","12","50","7","50","8","50","7","50","10","50","10","50","12","50","9","50","10","50","11","50","10","50","10","50","11","50"
,"9","50","7","50","11","50","12","50","10","50","11","50","15","50","12","50","6","50","8","50","6","50","9","50","9","50","12","50","9","50","10","50","10","50","8","50","10","50","11","50"
,"8","50","7","50","10","50","12","50","10","50","11","50","13","50","12","50","5","50","8","50","5","50","9","50","9","50","11","50","9","50","10","50","10","50","8","50","10","50","11","50"
,"7","50","7","50","10","50","12","50","9","50","11","50","13","50","12","50","4","50","8","50","5","50","8","50","9","50","11","50","9","50","9","50","10","50","8","50","10","50","9","50"
,"6","50","7","50","10","50","12","50","9","50","11","50","13","50","11","50","4","50","8","50","5","50","7","50","8","50","11","50","9","50","8","50","10","50","8","50","10","50","9","50"
,"6","50","7","50","10","50","12","50","9","50","9","50","12","50","11","50","4","50","8","50","5","50","7","50","8","50","10","50","9","50","8","50","10","50","7","50","10","50","8","50"
,"5","50","7","50","9","50","12","50","7","50","8","50","11","50","11","50","4","50","8","50","5","50","7","50","8","50","10","50","9","50","8","50","9","50","7","50","10","50","8","50"
,"5","50","7","50","8","50","12","50","7","50","7","50","10","50","10","50","4","50","8","50","4","50","7","50","8","50","10","50","9","50","8","50","9","50","7","50","9","50","8","50"
,"5","50","7","50","8","50","11","50","6","50","7","50","10","50","10","50","3","50","8","50","4","50","7","50","7","50","10","50","9","50","8","50","9","50","7","50","9","50","8","50"
,"5","50","7","50","8","50","10","50","6","50","7","50","10","50","9","50","3","50","8","50","4","50","7","50","7","50","10","50","9","50","8","50","9","50","7","50","8","50","8","50"
,"5","50","7","50","8","50","9","50","6","50","7","50","10","50","9","50","3","50","8","50","4","50","7","50","7","50","10","50","8","50","8","50","9","50","7","50","7","50","8","50"
,"5","50","7","50","8","50","9","50","5","50","7","50","9","50","9","50","3","50","7","50","4","50","7","50","7","50","9","50","8","50","8","50","9","50","7","50","6","50","8","50"
,"5","50","7","50","8","50","8","50","5","50","6","50","8","50","9","50","2","50","7","50","4","50","7","50","6","50","8","50","7","50","8","50","7","50","7","50","6","50","8","50"
,"5","50","5","50","7","50","8","50","5","50","5","50","6","50","9","50","2","50","7","50","4","50","7","50","5","50","8","50","7","50","8","50","7","50","7","50","6","50","8","50"
,"4","50","5","50","6","50","8","50","5","50","5","50","6","50","9","50","2","50","7","50","3","50","6","50","5","50","7","50","7","50","8","50","7","50","7","50","5","50","7","50"
,"4","50","4","50","6","50","7","50","5","50","5","50","6","50","9","50","2","50","7","50","3","50","6","50","5","50","7","50","7","50","8","50","7","50","7","50","5","50","7","50"
,"4","50","4","50","6","50","7","50","4","50","5","50","5","50","8","50","2","50","7","50","3","50","5","50","5","50","7","50","7","50","8","50","7","50","6","50","5","50","7","50"
,"4","50","4","50","6","50","7","50","4","50","5","50","5","50","8","50","2","50","7","50","3","50","4","50","5","50","6","50","7","50","8","50","7","50","6","50","5","50","7","50"
,"4","50","4","50","5","50","7","50","3","50","4","50","4","50","8","50","2","50","6","50","3","50","4","50","5","50","6","50","7","50","7","50","7","50","5","50","5","50","7","50"
,"4","50","4","50","5","50","6","50","3","50","4","50","4","50","8","50","2","50","6","50","3","50","4","50","5","50","6","50","7","50","7","50","7","50","5","50","5","50","7","50"
,"4","50","4","50","5","50","6","50","3","50","4","50","4","50","8","50","2","50","6","50","1","50","4","50","5","50","6","50","7","50","6","50","7","50","5","50","5","50","7","50"
,"3","50","4","50","5","50","6","50","3","50","4","50","4","50","7","50","2","50","6","50","1","50","4","50","5","50","6","50","7","50","6","50","6","50","5","50","4","50","7","50"
,"3","50","3","50","5","50","6","50","3","50","4","50","4","50","7","50","2","50","6","50","0","50","4","50","5","50","6","50","7","50","6","50","5","50","5","50","4","50","7","50"
,"3","50","3","50","5","50","6","50","3","50","4","50","4","50","7","50","2","50","6","50","0","50","4","50","5","50","6","50","7","50","6","50","5","50","5","50","4","50","6","50"
,"2","50","3","50","5","50","6","50","3","50","3","50","3","50","6","50","2","50","6","50","0","50","4","50","5","50","6","50","7","50","6","50","5","50","4","50","4","50","6","50"
,"2","50","3","50","5","50","6","50","3","50","3","50","3","50","6","50","2","50","6","50","0","50","4","50","5","50","6","50","7","50","6","50","5","50","4","50","4","50","5","50"
,"2","50","3","50","5","50","6","50","3","50","2","50","3","50","6","50","2","50","6","50","0","50","3","50","5","50","5","50","7","50","5","50","5","50","4","50","4","50","5","50"
,"2","50","3","50","5","50","6","50","3","50","2","50","3","50","6","50","2","50","6","50","0","50","3","50","5","50","5","50","7","50","5","50","5","50","4","50","3","50","5","50"
,"2","50","3","50","4","50","5","50","3","50","2","50","3","50","6","50","2","50","6","50","0","50","3","50","5","50","3","50","6","50","5","50","5","50","4","50","3","50","5","50"
,"2","50","3","50","4","50","5","50","3","50","2","50","3","50","6","50","2","50","6","50","0","50","3","50","5","50","2","50","6","50","5","50","5","50","4","50","3","50","5","50"
,"2","50","3","50","4","50","5","50","3","50","2","50","3","50","6","50","2","50","6","50","0","50","3","50","5","50","2","50","5","50","4","50","5","50","4","50","2","50","4","50"
,"2","50","2","50","4","50","5","50","3","50","2","50","3","50","6","50","2","50","6","50","0","50","3","50","5","50","2","50","5","50","4","50","5","50","4","50","2","50","4","50"
,"2","50","2","50","4","50","5","50","2","50","2","50","3","50","6","50","1","50","6","50","0","50","3","50","5","50","2","50","5","50","4","50","5","50","3","50","2","50","4","50"
,"2","50","2","50","3","50","5","50","1","50","2","50","3","50","6","50","1","50","6","50","0","50","3","50","5","50","2","50","5","50","4","50","4","50","3","50","2","50","4","50"
,"2","50","2","50","3","50","5","50","1","50","2","50","3","50","6","50","1","50","5","50","0","50","3","50","5","50","2","50","5","50","4","50","4","50","3","50","2","50","4","50"
,"2","50","2","50","3","50","4","50","1","50","2","50","3","50","6","50","1","50","5","50","0","50","2","50","5","50","2","50","4","50","4","50","4","50","3","50","2","50","4","50"
,"2","50","2","50","3","50","4","50","1","50","2","50","3","50","6","50","1","50","5","50","0","50","2","50","5","50","2","50","4","50","4","50","4","50","3","50","2","50","4","50"
,"2","50","2","50","3","50","4","50","1","50","2","50","3","50","6","50","1","50","5","50","0","50","2","50","5","50","2","50","4","50","4","50","4","50","3","50","2","50","4","50"
,"1","50","2","50","3","50","4","50","1","50","2","50","3","50","6","50","1","50","5","50","0","50","2","50","5","50","2","50","4","50","4","50","4","50","3","50","1","50","4","50"
,"1","50","2","50","3","50","4","50","1","50","2","50","3","50","6","50","1","50","5","50","0","50","2","50","5","50","2","50","4","50","3","50","4","50","3","50","1","50","4","50"
