"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-plus-shelter-10"
"10/29/2022 00:42:49:138 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",,"2.5",
"n-shelter","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","0","3","2","1","0","4","1","2","1","3","1","5","1","1","0","2","0","2","1","2","2","1","0","2","0","3","0","2","0","2","1","4","0","3","0","2","0","6","0","4"
"[min]","0","3","2","1","0","4","1","2","1","3","1","5","1","1","0","2","0","2","1","2","2","1","0","2","0","3","0","2","0","2","1","4","0","3","0","2","0","6","0","4"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
"[mean]","1.4455544455544456","4.949050949050949","3.157842157842158","4.728271728271729","0.6743256743256744","6.874125874125874","1.8851148851148851","6.445554445554445","2.0779220779220777","5.414585414585415","1.6733266733266734","9.197802197802197","3.196803196803197","3.3676323676323676","1.037962037962038","6.896103896103896","1.7722277722277722","4.238761238761239","2.4515484515484514","4.081918081918082","2.8351648351648353","3.965034965034965","1.2377622377622377","5.251748251748252","1.6853146853146854","5.553446553446554","2.3496503496503496","4.674325674325674","0.5084915084915085","4.096903096903097","1.4575424575424576","7.274725274725275","0.993006993006993","6.544455544455545","1.010989010989011","5.381618381618382","0.9820179820179821","8.962037962037963","1.4745254745254746","8.027972027972028"
"[steps]","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"

"[all run data]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
,"18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"18","18","18","18","18","18","17","18","15","18","18","18","18","18","18","18","18","18","17","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
,"17","18","17","18","17","18","15","18","14","18","17","16","18","17","16","17","18","17","16","17","18","18","18","17","18","18","18","18","16","17","17","18","18","17","16","17","16","18","18","17"
,"16","18","16","17","16","18","15","18","14","18","17","16","18","17","16","17","18","17","16","17","18","17","18","16","17","17","18","16","16","17","17","18","18","17","16","17","16","18","17","17"
,"16","18","16","17","15","17","14","18","14","17","17","16","18","17","15","17","16","17","16","17","16","17","17","16","17","17","18","16","16","17","17","18","17","17","15","17","15","18","16","17"
,"16","17","16","17","15","17","14","17","14","17","15","15","18","16","15","17","15","17","16","16","16","17","15","16","17","17","18","16","16","17","16","18","16","17","15","17","14","18","15","17"
,"15","17","16","17","14","17","13","17","14","17","15","15","17","16","15","17","15","16","16","16","15","17","15","16","16","16","18","16","16","17","14","18","15","17","15","17","14","18","14","16"
,"15","17","16","17","13","17","13","17","12","17","15","15","17","16","14","17","14","16","15","16","14","16","15","16","15","16","17","16","15","16","14","18","15","17","15","17","13","18","14","16"
,"14","17","16","17","13","17","13","16","11","17","15","15","17","16","14","17","13","16","14","16","13","16","15","16","15","16","16","16","15","16","14","18","15","17","15","17","13","18","14","16"
,"14","17","16","17","13","17","13","16","11","16","15","15","16","16","14","17","13","16","14","14","13","16","13","16","15","16","16","16","14","16","14","18","15","17","14","17","12","18","13","16"
,"14","17","15","17","13","17","12","16","11","16","14","15","16","16","13","17","13","16","14","12","12","16","13","16","14","16","16","16","14","16","14","17","15","17","13","17","12","18","13","16"
,"14","17","15","17","12","17","11","16","11","16","12","15","16","16","13","17","12","16","14","12","12","16","13","15","14","16","15","16","12","16","12","17","15","16","12","17","11","18","13","16"
,"14","17","15","17","12","17","11","16","11","15","12","15","16","16","13","17","12","16","14","12","12","16","13","15","14","16","15","16","11","16","12","17","15","16","12","17","11","18","13","16"
,"13","17","15","17","11","17","11","16","9","15","12","15","16","16","12","17","12","16","14","12","12","16","12","15","14","16","15","16","10","16","11","17","14","15","11","17","11","18","12","16"
,"13","17","14","17","11","17","10","16","9","15","11","15","15","16","11","17","12","15","14","12","12","16","12","15","14","16","15","16","10","16","11","16","14","15","11","17","10","18","12","16"
,"13","17","14","17","11","17","10","16","9","15","11","15","15","16","11","17","11","15","14","12","12","15","12","15","14","16","14","16","10","15","10","16","14","15","11","17","10","18","12","16"
,"12","16","14","17","11","17","9","16","9","15","11","15","15","15","10","17","11","15","14","12","12","15","12","15","14","16","14","16","10","15","10","16","14","15","11","17","8","18","12","15"
,"11","16","14","17","11","16","9","16","9","15","10","15","15","15","10","17","11","14","14","12","12","15","11","15","13","16","14","16","10","14","10","16","14","15","11","17","8","18","12","15"
,"10","15","13","17","11","16","8","16","8","15","9","15","15","15","10","17","11","14","14","12","12","15","11","15","12","16","14","16","8","14","9","16","14","15","9","17","8","18","12","15"
,"10","15","13","16","10","16","8","16","8","15","9","15","14","15","10","16","11","14","14","12","12","15","10","15","12","16","14","16","8","14","9","16","14","15","8","17","8","18","11","15"
,"9","15","13","16","8","16","8","16","8","15","9","15","14","15","10","16","11","14","13","12","12","14","9","14","12","16","14","16","8","14","9","15","14","15","8","17","8","18","11","15"
,"8","15","13","16","8","16","8","16","6","14","9","15","14","15","10","16","11","14","13","12","12","14","9","14","12","16","13","16","7","14","9","15","14","15","8","17","8","18","11","15"
,"8","15","13","16","8","16","8","16","6","14","9","15","14","14","10","16","10","14","13","12","12","14","9","14","12","16","12","16","6","14","8","15","14","15","8","17","8","18","9","15"
,"8","14","13","16","8","16","8","16","6","14","9","15","13","14","10","16","9","14","13","12","12","14","9","14","12","16","12","16","6","14","8","15","14","15","8","16","8","18","9","15"
,"8","14","12","15","8","16","8","16","6","14","7","15","13","14","9","16","9","14","13","11","10","14","9","14","12","16","12","15","6","14","7","15","13","15","8","16","8","18","9","15"
,"8","14","11","14","8","16","8","16","6","14","7","15","13","14","9","16","9","14","13","11","10","14","9","14","11","16","11","15","6","14","7","15","12","15","8","16","8","18","9","15"
,"8","14","11","14","8","16","8","16","6","14","7","15","13","13","8","16","9","14","13","11","10","14","9","14","11","16","11","15","6","14","6","15","12","15","8","16","7","18","9","15"
,"8","14","10","13","8","16","8","16","6","14","7","15","13","13","8","16","9","14","13","11","10","14","8","14","11","16","11","15","6","14","6","15","12","15","7","16","7","18","9","15"
,"8","14","10","13","8","16","8","16","6","14","7","15","13","13","8","16","8","14","13","11","10","14","8","14","11","16","11","15","6","14","6","15","12","15","7","16","7","18","9","15"
,"8","14","10","13","8","16","8","16","6","14","7","15","13","13","8","16","7","14","12","11","10","14","8","14","11","15","10","15","6","14","6","15","12","15","7","16","7","18","9","15"
,"7","14","10","13","8","16","8","16","6","14","6","15","13","13","8","16","7","14","12","11","10","14","8","14","11","14","10","15","6","14","6","15","12","15","7","16","7","18","9","15"
,"7","13","10","13","8","16","8","16","6","14","6","14","13","13","8","16","7","14","12","11","9","14","8","14","11","14","10","15","5","14","6","15","12","15","7","16","6","18","9","15"
,"7","13","10","13","7","15","7","16","6","14","6","14","13","13","8","16","7","14","11","11","9","13","8","14","11","14","10","15","5","14","6","15","12","15","7","16","6","18","9","15"
,"7","13","10","13","7","15","6","16","6","14","6","14","13","13","8","16","7","14","11","11","9","13","8","13","11","14","10","15","4","14","5","15","12","14","7","16","6","18","9","15"
,"7","13","10","13","7","15","6","16","6","14","6","14","12","13","8","16","7","14","10","11","9","13","8","13","11","14","10","15","4","14","5","15","11","14","7","15","5","18","9","15"
,"7","13","10","13","7","15","6","16","6","14","6","14","12","13","8","16","7","14","10","11","9","13","8","13","11","14","10","15","4","14","4","15","10","14","6","15","5","18","9","15"
,"7","13","10","13","7","15","6","16","6","14","6","14","12","12","8","16","7","14","10","11","9","13","8","13","11","14","10","15","4","14","4","15","10","14","6","15","5","16","9","15"
,"7","13","10","13","7","15","6","16","6","14","6","14","12","12","8","16","7","14","10","11","8","13","8","13","10","14","10","15","4","14","4","15","9","14","6","15","5","16","9","15"
,"7","13","10","13","6","15","6","16","6","14","6","14","11","11","8","16","7","14","10","11","8","13","8","13","10","14","10","15","4","14","4","15","9","14","6","15","5","16","8","15"
,"7","13","10","13","5","15","6","16","6","14","6","14","11","11","8","15","7","14","10","11","8","13","7","13","10","14","10","14","4","14","4","15","9","14","6","15","5","16","8","15"
,"6","13","10","13","5","15","6","16","6","14","6","14","11","11","8","15","7","14","10","11","8","13","7","13","10","14","10","14","3","14","4","15","9","14","6","15","5","16","8","15"
,"6","13","10","13","5","15","6","16","6","14","6","14","10","11","8","15","7","14","9","11","8","13","7","13","10","14","10","14","3","14","4","15","9","14","6","15","5","16","8","15"
,"6","13","9","13","5","15","6","16","6","14","6","14","10","11","8","15","7","14","9","11","8","13","7","12","10","14","10","14","3","14","4","15","9","14","6","15","5","16","7","15"
,"6","13","9","13","5","15","6","16","6","14","5","14","10","11","8","15","7","14","8","11","8","13","7","12","10","14","10","14","3","14","4","15","9","14","6","15","5","16","7","15"
,"6","13","9","13","5","15","6","16","6","14","5","14","9","11","8","15","7","14","7","11","8","13","7","12","10","14","10","14","3","14","4","15","9","14","6","15","4","16","7","15"
,"6","13","9","13","5","15","5","16","6","14","5","14","9","11","8","15","7","13","7","11","8","13","7","12","10","14","10","14","3","14","4","15","9","14","6","15","4","16","7","15"
,"6","13","9","13","5","15","4","16","6","14","3","13","9","11","8","15","7","13","6","11","8","12","7","12","10","14","10","14","3","13","4","15","9","14","6","15","4","16","7","15"
,"6","13","9","13","5","15","4","16","6","14","3","13","9","11","8","15","6","13","6","11","8","12","7","12","10","14","10","14","3","13","4","15","9","14","6","15","4","16","7","15"
,"6","13","9","13","5","15","4","16","6","14","3","13","9","11","8","15","6","13","6","10","8","12","7","12","10","14","9","14","3","13","4","15","9","14","6","15","4","16","7","15"
,"6","13","9","12","5","15","4","16","6","14","3","13","9","11","8","15","6","13","6","10","8","12","7","12","9","14","9","14","3","13","4","15","8","14","6","15","4","16","7","15"
,"6","13","9","12","5","15","4","16","6","14","3","13","9","10","8","15","6","13","6","10","8","12","7","12","9","14","9","14","3","13","4","15","8","14","6","15","4","16","7","15"
