"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-plus-yellow-food-plus-shelters-10"
"10/29/2022 00:56:41:557 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5","6","6","7","7","8","8","9","9","10","10","11","11","12","12","13","13","14","14","15","15","16","16","17","17","18","18","19","19","20","20"
"yellow-food-percentage","5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",,"5",
"n-shelter","10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",,"10",
"expert-kill-basic-min-energy","101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",,"101",
"n-basic-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"n-expert-agent","18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",,"18",
"green-food-percentage","7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",,"7",
"basic-agent-camouflage-percentage","50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",,"50",
"trap-percentage","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",
"[reporter]","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent","count basic-agent","count expert-agent"
"[final]","2","1","5","3","2","4","9","1","6","1","5","0","3","1","2","2","6","5","3","3","4","0","6","3","2","2","7","0","2","0","2","2","1","1","4","2","3","5","1","2"
"[min]","2","1","5","3","2","4","9","1","6","1","5","0","3","1","2","2","6","5","3","3","4","0","6","3","2","2","7","0","2","0","2","2","1","1","4","2","3","5","1","2"
"[max]","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18","18"
